lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,911133,3,0.08820,-0.24908,-0.20758,0.94183,-1.27734,0.26562,-2.57812,-1.66992,-0.40625,0.40039,-0.50344,-0.44737,0.30362
1,12695,3,0.08020,-0.24951,-0.20795,0.94238,-1.35547,0.37500,-3.02344,-1.93945,-0.46094,0.50000,-0.50089,-0.45216,0.28734
2,7812,3,0.07111,-0.24982,-0.20825,0.94293,-1.63281,0.30859,-3.11328,-2.19727,-0.51172,0.61328,-0.49761,-0.45730,0.26865
3,9766,3,0.06006,-0.25018,-0.20837,0.94360,-1.91016,0.20312,-3.21484,-2.47266,-0.53711,0.76367,-0.49295,-0.46354,0.24574
4,9766,3,0.04706,-0.25037,-0.20819,0.94434,-2.16406,0.30078,-3.39062,-2.75391,-0.60938,0.93555,-0.48652,-0.47042,0.21839
5,9765,3,0.03320,-0.25055,-0.20758,0.94501,-2.50000,0.29297,-3.90625,-3.02539,-0.73633,1.11719,-0.47858,-0.47772,0.18892
6,10742,3,0.01733,-0.25085,-0.20642,0.94562,-2.60156,0.35938,-4.41016,-3.28906,-0.97852,1.35742,-0.46831,-0.48618,0.15483
7,9766,3,0.00012,-0.25171,-0.20459,0.94592,-2.72656,0.26562,-5.02344,-3.67383,-1.11133,1.69141,-0.45585,-0.49627,0.11766
8,9766,3,-0.01935,-0.25305,-0.20172,0.94598,-3.40234,0.01953,-4.83984,-4.00391,-1.01562,2.10352,-0.43968,-0.50817,0.07503
9,11718,3,-0.04004,-0.25391,-0.19763,0.94598,-3.71875,-0.57031,-3.65234,-4.12305,-0.93359,2.44531,-0.41944,-0.51922,0.02835
10,8790,3,-0.06323,-0.25397,-0.19171,0.94592,-3.11328,-0.60938,-3.44922,-4.23633,-1.01758,2.67383,-0.39294,-0.52904,-0.02577
11,9765,3,-0.08813,-0.25366,-0.18427,0.94550,-2.76562,-0.83594,-3.60156,-4.38672,-1.01562,2.87305,-0.36143,-0.53767,-0.08530
12,9766,3,-0.11322,-0.25317,-0.17603,0.94452,-2.59766,-1.02344,-3.43359,-4.62500,-0.97461,3.01953,-0.32756,-0.54463,-0.14637
13,12695,3,-0.11322,-0.25317,-0.17603,0.94452,-2.12891,-2.37109,-3.46094,-4.94336,-0.99805,3.08203,-0.32756,-0.54463,-0.14637
14,7813,3,-0.16492,-0.25067,-0.15851,0.94067,-2.13672,-2.66016,-3.35938,-5.23828,-1.15625,3.07031,-0.25580,-0.55139,-0.27438
15,9765,3,-0.19360,-0.24902,-0.14941,0.93713,-1.95312,-2.85547,-3.16406,-5.44336,-1.23828,2.99805,-0.21737,-0.55221,-0.34563
16,9766,3,-0.22400,-0.24756,-0.14038,0.93213,-1.48828,-4.46094,-1.23438,-5.41797,-1.27930,2.97266,-0.17804,-0.55199,-0.42113
17,9765,3,-0.25421,-0.24609,-0.13153,0.92603,-0.73438,-4.31250,-0.76953,-5.24805,-1.54883,2.84570,-0.13942,-0.54995,-0.49644
18,10743,3,-0.28333,-0.24530,-0.12274,0.91895,-0.09766,-3.93359,-0.81641,-5.11133,-2.07031,2.73438,-0.10158,-0.54732,-0.56960
19,12695,3,-0.31177,-0.24640,-0.11359,0.91058,0.63672,-3.70312,-1.84375,-5.25977,-2.20898,2.65039,-0.06233,-0.54635,-0.64228
20,6836,3,-0.33844,-0.24878,-0.10474,0.90143,-0.16016,-4.16016,-0.40625,-5.28125,-1.83398,2.64062,-0.02391,-0.54617,-0.71163
21,10742,3,-0.36652,-0.25055,-0.09583,0.89093,0.02344,-3.89844,0.98828,-4.87305,-1.64844,2.60352,0.01508,-0.54295,-0.78476
22,9766,3,-0.39404,-0.25092,-0.08698,0.87988,0.81641,-3.64453,1.48828,-4.26367,-1.79688,2.47070,0.05198,-0.53530,-0.85636
23,9765,3,-0.41815,-0.25146,-0.07800,0.86938,1.62109,-4.08203,1.72656,-3.73633,-1.75195,2.39062,0.08647,-0.52646,-0.91994
24,9766,3,-0.43909,-0.25244,-0.06879,0.85950,2.05078,-4.19141,2.05469,-3.34375,-1.53906,2.37305,0.11929,-0.51709,-0.97619
25,10742,3,-0.45789,-0.25299,-0.05927,0.85016,2.41406,-4.26172,2.27344,-3.07227,-1.25000,2.29492,0.15022,-0.50575,-1.02697
26,9766,3,-0.47479,-0.25256,-0.05017,0.84155,2.60938,-4.51172,2.70312,-2.80469,-0.94336,2.15039,0.17727,-0.49242,-1.07200
27,11719,3,-0.48956,-0.25116,-0.04224,0.83392,3.50000,-4.79688,3.45703,-2.44141,-0.77344,1.97266,0.19897,-0.47830,-1.11036
28,8789,3,-0.50305,-0.24915,-0.03491,0.82684,3.94531,-4.76172,3.96875,-2.00000,-0.58984,1.75195,0.21740,-0.46355,-1.14465
29,9765,3,-0.51544,-0.24664,-0.02777,0.82019,4.34766,-4.74609,4.61719,-1.48242,-0.45508,1.47461,0.23369,-0.44806,-1.17562
30,9766,3,-0.52441,-0.24445,-0.02209,0.81531,4.84766,-4.74219,4.77344,-0.92578,-0.40234,1.11719,0.24549,-0.43541,-1.19774
31,9765,3,-0.53101,-0.24261,-0.01715,0.81171,5.16406,-4.49609,4.77344,-0.39453,-0.34961,0.76953,0.25498,-0.42474,-1.21389
32,10743,3,-0.53485,-0.24152,-0.01312,0.80957,5.15625,-4.39453,4.58594,0.08984,-0.24609,0.45117,0.26234,-0.41709,-1.22349
33,9765,3,-0.53625,-0.24109,-0.01001,0.80884,5.20312,-4.25781,4.33984,0.59570,-0.13477,0.14844,0.26773,-0.41232,-1.22722
34,9766,3,-0.53522,-0.24103,-0.00793,0.80957,4.91406,-3.82812,4.50000,1.16016,0.01758,-0.14844,0.27061,-0.41015,-1.22491
35,9766,3,-0.53168,-0.24127,-0.00671,0.81183,4.82812,-3.73438,4.58203,1.75977,0.12305,-0.44141,0.27120,-0.41030,-1.21641
36,10742,3,-0.52533,-0.24182,-0.00641,0.81580,4.99609,-3.36719,4.22656,2.27148,0.24023,-0.79688,0.26921,-0.41292,-1.20093
37,8789,3,-0.51636,-0.24274,-0.00696,0.82123,4.99609,-3.10938,3.93359,2.70898,0.43164,-1.18359,0.26486,-0.41793,-1.17908
38,10742,3,-0.50525,-0.24390,-0.00885,0.82776,4.54297,-2.85156,4.09766,3.15820,0.62109,-1.58398,0.25731,-0.42542,-1.15191
39,12695,3,-0.49078,-0.24530,-0.01251,0.83594,4.39453,-3.01562,3.75391,3.50781,0.67578,-1.86914,0.24501,-0.43609,-1.11631
40,6836,3,-0.47540,-0.24689,-0.01703,0.84424,4.21484,-3.10547,2.78516,3.62695,0.58398,-2.05273,0.23057,-0.44788,-1.07845
41,10742,3,-0.45776,-0.24915,-0.02246,0.85315,3.97656,-3.18359,1.14062,3.54688,0.56055,-2.18945,0.21362,-0.46194,-1.03534
42,9766,3,-0.43866,-0.25201,-0.02869,0.86212,2.91797,-2.69141,0.17578,3.44141,0.68945,-2.26367,0.19449,-0.47765,-0.98884
43,9766,3,-0.42072,-0.25458,-0.03528,0.87000,2.32422,-2.69922,-0.10547,3.37305,0.85742,-2.28320,0.17431,-0.49232,-0.94476
44,10742,3,-0.40265,-0.25653,-0.04260,0.87762,1.69922,-2.51172,-0.33984,3.35352,0.99023,-2.27930,0.15126,-0.50590,-0.89945
45,9765,3,-0.38483,-0.25769,-0.05011,0.88489,1.44531,-1.69922,-0.99609,3.36719,1.03516,-2.30273,0.12649,-0.51738,-0.85395
46,9766,3,-0.36646,-0.25836,-0.05804,0.89197,1.20703,-1.49609,-1.22266,3.37695,1.04688,-2.33203,0.09947,-0.52757,-0.80652
47,9766,3,-0.34821,-0.25885,-0.06586,0.89856,0.89062,-1.46484,-1.32031,3.36523,1.10742,-2.32812,0.07209,-0.53641,-0.75922
48,9765,3,-0.32959,-0.25909,-0.07391,0.90485,0.71484,-1.41797,-1.26562,3.28906,1.25586,-2.31250,0.04329,-0.54407,-0.71070
49,12696,3,-0.31177,-0.25873,-0.08179,0.91058,0.42969,-1.12500,-1.19141,3.30078,1.37695,-2.32031,0.01451,-0.54942,-0.66384
50,8789,3,-0.29309,-0.25763,-0.09027,0.91632,0.55859,-0.84766,-1.04297,3.46680,1.40820,-2.42383,-0.01694,-0.55274,-0.61434
51,8789,3,-0.27289,-0.25604,-0.09924,0.92200,0.61328,-0.99219,-0.87109,3.49023,1.39453,-2.51953,-0.05090,-0.55428,-0.56104
52,10742,3,-0.25293,-0.25458,-0.10815,0.92706,0.29688,-1.26172,-1.39844,3.29688,1.41406,-2.55469,-0.08452,-0.55479,-0.50861
53,11719,3,-0.23309,-0.25305,-0.11743,0.93158,-0.00781,-0.72266,-2.94922,2.83789,1.43164,-2.53906,-0.11885,-0.55415,-0.45652
54,7812,3,-0.21564,-0.25122,-0.12665,0.93506,-0.33984,-0.68359,-3.77344,2.30273,1.40039,-2.47266,-0.15150,-0.55206,-0.41031
55,9766,3,-0.19940,-0.24884,-0.13678,0.93787,-0.53516,-0.32422,-4.38672,1.81836,1.32227,-2.45703,-0.18542,-0.54839,-0.36669
56,10742,3,-0.18542,-0.24622,-0.14746,0.93982,-1.26172,0.51953,-4.56641,1.41992,1.24805,-2.44922,-0.21895,-0.54390,-0.32831
57,9766,3,-0.17365,-0.24353,-0.15839,0.94098,-1.15625,0.73047,-4.10938,1.09570,1.18750,-2.43750,-0.25142,-0.53906,-0.29517
58,9765,3,-0.16376,-0.24091,-0.16943,0.94153,-1.22266,0.73438,-3.89062,0.78320,1.12500,-2.36719,-0.28276,-0.53415,-0.26656
59,10742,3,-0.15540,-0.23816,-0.18073,0.94153,-1.45312,0.83594,-3.85156,0.47461,1.07031,-2.22656,-0.31356,-0.52896,-0.24157
60,9766,3,-0.14862,-0.23523,-0.19183,0.94116,-1.51953,1.21094,-3.84766,0.17578,0.97070,-2.07422,-0.34285,-0.52336,-0.22057
61,12695,3,-0.14362,-0.23236,-0.20227,0.94049,-1.60547,1.38281,-4.01562,-0.12891,0.80469,-1.93555,-0.36942,-0.51799,-0.20414
62,6836,3,-0.14044,-0.22974,-0.21185,0.93945,-1.94141,1.55859,-4.05469,-0.44922,0.65430,-1.75391,-0.39294,-0.51344,-0.19238
63,9766,3,-0.13892,-0.22723,-0.22144,0.93811,-2.10156,1.45703,-4.17188,-0.86328,0.56055,-1.52539,-0.41546,-0.50963,-0.18433
64,10742,3,-0.13947,-0.22473,-0.23071,0.93640,-2.76562,1.53906,-4.10156,-1.28516,0.52930,-1.25586,-0.43614,-0.50661,-0.18110
65,9766,3,-0.14233,-0.22186,-0.23889,0.93457,-3.13281,1.72656,-4.19531,-1.65625,0.40625,-0.99219,-0.45310,-0.50375,-0.18378
66,9765,3,-0.14740,-0.21869,-0.24615,0.93268,-3.41797,1.87109,-4.33984,-2.00195,0.24609,-0.76367,-0.46681,-0.50121,-0.19192
67,9766,3,-0.15424,-0.21570,-0.25220,0.93066,-3.89844,1.71484,-3.94141,-2.34570,0.12109,-0.53906,-0.47688,-0.49981,-0.20455
68,10742,3,-0.16382,-0.21246,-0.25793,0.92816,-4.05469,1.44922,-3.86328,-2.72266,-0.10156,-0.29102,-0.48492,-0.49942,-0.22341
69,9766,3,-0.17523,-0.20941,-0.26263,0.92548,-4.25391,1.18359,-4.35156,-3.29688,-0.31836,-0.03711,-0.48968,-0.50024,-0.24677
70,9765,3,-0.18909,-0.20654,-0.26630,0.92230,-4.84375,0.69922,-4.50391,-3.99609,-0.28906,0.30078,-0.49089,-0.50261,-0.27598
71,12696,3,-0.18909,-0.20654,-0.26630,0.92230,-5.93750,-1.05859,-2.89453,-4.51562,-0.04883,0.71484,-0.49089,-0.50261,-0.27598
72,7812,3,-0.22595,-0.19763,-0.27081,0.91461,-5.55469,-1.70312,-1.65625,-4.69922,0.21680,1.10938,-0.48254,-0.50512,-0.35756
73,9766,3,-0.24774,-0.18994,-0.27124,0.91046,-4.78906,-2.20703,-0.09766,-4.40625,0.38672,1.38086,-0.47330,-0.50097,-0.40809
74,9766,3,-0.27020,-0.18036,-0.27014,0.90637,-4.55859,-2.95703,2.51562,-3.55078,0.26758,1.57617,-0.46134,-0.49260,-0.46151
75,9765,3,-0.28894,-0.17151,-0.26740,0.90308,-4.39453,-2.99609,3.50781,-2.30273,-0.27344,1.79492,-0.44828,-0.48286,-0.50717
76,10742,3,-0.30359,-0.16516,-0.26221,0.90100,-3.70312,-3.08203,3.67969,-1.04492,-1.00391,1.95508,-0.43171,-0.47443,-0.54407
77,9766,3,-0.31360,-0.16296,-0.25409,0.90033,-3.39062,-3.21484,3.47266,-0.08203,-1.73242,2.02930,-0.40986,-0.46988,-0.57093
78,9766,3,-0.31915,-0.16510,-0.24396,0.90076,-3.70312,-3.51953,2.25781,0.75781,-2.42188,2.09961,-0.38418,-0.47030,-0.58791
79,12695,3,-0.32196,-0.17194,-0.23035,0.90210,-3.75000,-3.18359,2.37500,1.71680,-3.03906,2.12891,-0.35015,-0.47631,-0.59979
80,7812,3,-0.32129,-0.18176,-0.21600,0.90393,-3.41406,-2.90625,2.43750,2.70703,-3.48242,2.25000,-0.31478,-0.48634,-0.60432
81,9766,3,-0.31665,-0.19550,-0.19855,0.90668,-2.42969,-2.62500,2.82812,3.45508,-3.53906,2.38086,-0.27270,-0.50095,-0.60182
82,9766,3,-0.30804,-0.21130,-0.17871,0.91022,0.83984,-2.46484,3.18750,3.71875,-3.15039,2.36719,-0.22650,-0.51758,-0.59246
83,10742,3,-0.29694,-0.22614,-0.15869,0.91406,2.41016,-2.33594,2.91016,3.40039,-2.34570,2.15430,-0.18185,-0.53245,-0.57848
84,9765,3,-0.28534,-0.23810,-0.14014,0.91772,3.84766,-2.44141,2.27734,2.82617,-1.38867,1.83008,-0.14224,-0.54335,-0.56321
85,12696,3,-0.27472,-0.24591,-0.12469,0.92114,5.29297,-1.52344,1.92969,2.41406,-0.59375,1.46094,-0.11112,-0.54867,-0.54838
86,6836,3,-0.26556,-0.24969,-0.11292,0.92432,5.18750,-1.35547,1.66797,2.10352,-0.12695,1.07031,-0.08934,-0.54870,-0.53439
87,10742,3,-0.25684,-0.25092,-0.10370,0.92755,4.94922,-1.11328,1.20703,1.89453,0.08984,0.72852,-0.07432,-0.54536,-0.51947
88,9766,3,-0.24841,-0.25085,-0.09674,0.93060,4.67578,-0.76172,0.69922,1.68359,0.08594,0.44336,-0.06470,-0.54094,-0.50377
