lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1122070,3,0.38232,-0.15979,-0.12708,0.90118,-0.09766,1.18750,-3.17188,-2.18555,-0.08594,0.03906,-0.36591,-0.19201,0.83810
1,9766,3,0.37335,-0.15924,-0.12903,0.90472,-0.13672,1.39844,-3.87891,-2.90625,0.03711,0.09961,-0.36727,-0.19300,0.81871
2,10742,3,0.36121,-0.15784,-0.13110,0.90967,-0.11328,2.00000,-4.94922,-3.60547,0.18945,0.11523,-0.36745,-0.19364,0.79206
3,9766,3,0.34674,-0.15552,-0.13312,0.91534,0.38281,2.48438,-5.19922,-4.15234,0.29492,-0.04297,-0.36638,-0.19360,0.76019
4,9765,3,0.32904,-0.15192,-0.13574,0.92206,1.08984,2.63672,-5.17969,-4.70703,0.28906,-0.17773,-0.36491,-0.19201,0.72107
5,9766,3,0.30853,-0.14740,-0.13934,0.92932,1.84766,2.50391,-5.69141,-5.26367,0.23828,-0.36523,-0.36431,-0.18911,0.67603
6,10742,3,0.28558,-0.14227,-0.14404,0.93671,2.07812,2.61719,-6.14062,-5.78125,0.16016,-0.46875,-0.36531,-0.18533,0.62618
7,9766,3,0.26001,-0.13678,-0.14978,0.94403,2.00391,2.12109,-6.33203,-6.23438,0.04102,-0.43359,-0.36810,-0.18136,0.57137
8,9765,3,0.23187,-0.13116,-0.15607,0.95111,1.34375,1.27344,-6.19922,-6.68555,0.14844,-0.22656,-0.37199,-0.17808,0.51185
9,12696,3,0.20264,-0.12555,-0.16162,0.95764,0.01953,-1.49609,-5.28516,-7.20508,0.50586,0.11523,-0.37478,-0.17586,0.45048
10,7812,3,0.16931,-0.11823,-0.16608,0.96423,-0.29297,-2.00000,-5.41406,-7.64453,0.76562,0.37305,-0.37444,-0.17262,0.38042
11,9766,3,0.13379,-0.10913,-0.16888,0.97040,-0.46875,-2.59375,-5.12500,-7.87695,0.99805,0.52930,-0.37044,-0.16739,0.30545
12,9765,3,0.09491,-0.09808,-0.17047,0.97583,-0.47656,-2.93750,-4.38672,-7.94141,1.22070,0.69141,-0.36385,-0.15976,0.22336
13,9766,3,0.05664,-0.08612,-0.17096,0.97986,-1.33203,-4.78516,-2.92578,-7.80469,1.25391,0.78320,-0.35620,-0.14997,0.14253
14,10742,3,0.01898,-0.07355,-0.17047,0.98242,-1.57422,-5.32031,-1.64062,-7.52734,1.36719,0.93359,-0.34799,-0.13848,0.06302
15,9766,3,-0.01758,-0.06067,-0.16907,0.98358,-1.44141,-5.38281,-0.53125,-7.04102,1.26172,0.99414,-0.33956,-0.12562,-0.01418
16,9765,3,-0.01758,-0.06067,-0.16907,0.98358,-0.78906,-4.34375,-0.47656,-6.51758,0.84961,0.87109,-0.33956,-0.12562,-0.01418
17,9766,3,-0.08527,-0.03680,-0.16418,0.98206,-1.01562,-3.58594,-1.05859,-6.14062,0.45312,0.75195,-0.32341,-0.10045,-0.15681
18,10742,3,-0.11615,-0.02795,-0.16168,0.97955,-1.73438,-3.16016,-0.64453,-5.75586,0.11719,0.73633,-0.31689,-0.09246,-0.22126
19,12696,3,-0.14484,-0.02130,-0.15918,0.97632,-2.03906,-2.53125,-0.76953,-5.40039,-0.29102,0.67969,-0.31082,-0.08782,-0.28078
20,6836,3,-0.17133,-0.01691,-0.15643,0.97260,-2.30078,-2.47266,-1.21875,-5.16797,-0.57812,0.61328,-0.30428,-0.08659,-0.33544
21,9765,3,-0.19745,-0.01428,-0.15344,0.96814,-2.16406,-2.56250,-1.41406,-5.13281,-0.61914,0.53516,-0.29695,-0.08836,-0.38915
22,10742,3,-0.22357,-0.01257,-0.15039,0.96295,-2.15625,-3.16016,-1.08984,-5.16602,-0.55078,0.42969,-0.28922,-0.09159,-0.44292
23,9766,3,-0.24908,-0.01093,-0.14777,0.95709,-1.83594,-3.20703,-0.69922,-5.06055,-0.49414,0.32812,-0.28239,-0.09466,-0.49574
24,9766,3,-0.27386,-0.00916,-0.14563,0.95062,-0.60156,-3.41797,-0.17578,-4.92188,-0.39844,0.21875,-0.27668,-0.09733,-0.54743
25,13671,3,-0.29761,-0.00726,-0.14398,0.94373,-0.58594,-3.58594,0.54297,-4.73047,-0.30469,0.16211,-0.27212,-0.09958,-0.59732
26,6836,3,-0.31989,-0.00519,-0.14282,0.93665,-0.44141,-3.71875,1.00000,-4.44141,-0.33594,0.09961,-0.26880,-0.10126,-0.64450
27,9766,3,-0.34149,-0.00317,-0.14185,0.92914,-0.18750,-3.63281,1.28125,-4.11914,-0.43359,0.03320,-0.26592,-0.10295,-0.69064
28,9766,3,-0.36224,-0.00177,-0.14087,0.92139,0.05469,-3.68359,1.75391,-3.69531,-0.51367,0.01172,-0.26276,-0.10551,-0.73522
29,10742,3,-0.38068,-0.00110,-0.13995,0.91406,0.20703,-3.48438,1.86719,-3.28906,-0.64844,0.00781,-0.25943,-0.10878,-0.77504
30,8789,3,-0.39697,-0.00128,-0.13879,0.90729,0.36328,-3.39453,1.76172,-2.95703,-0.70312,-0.05469,-0.25519,-0.11276,-0.81040
31,13672,3,-0.41101,-0.00220,-0.13763,0.90118,0.12891,-3.11719,1.91406,-2.65820,-0.59570,-0.11133,-0.25058,-0.11737,-0.84100
32,6836,3,-0.42389,-0.00336,-0.13666,0.89532,0.24609,-3.01953,1.93359,-2.34375,-0.56445,-0.12695,-0.24616,-0.12217,-0.86923
33,10742,3,-0.43555,-0.00452,-0.13593,0.88983,0.42969,-2.82812,1.74609,-2.05469,-0.54883,-0.13477,-0.24226,-0.12678,-0.89493
34,9766,3,-0.44611,-0.00586,-0.13531,0.88464,0.60938,-2.76953,1.65625,-1.82227,-0.41992,-0.09570,-0.23849,-0.13148,-0.91835
35,9765,3,-0.45502,-0.00696,-0.13477,0.88019,0.87891,-2.81250,1.66016,-1.59375,-0.30859,-0.02148,-0.23520,-0.13530,-0.93823
36,10742,3,-0.46265,-0.00757,-0.13416,0.87628,0.89453,-2.67578,1.65625,-1.37500,-0.20508,0.04102,-0.23239,-0.13784,-0.95542
37,9766,3,-0.46936,-0.00769,-0.13354,0.87280,1.14453,-2.55859,1.58203,-1.23047,-0.06445,0.06445,-0.23014,-0.13924,-0.97068
38,9766,3,-0.47504,-0.00739,-0.13293,0.86987,1.37500,-2.21875,1.03125,-1.10742,-0.03516,0.04102,-0.22843,-0.13959,-0.98365
39,9765,3,-0.48016,-0.00671,-0.13257,0.86707,1.33594,-1.85156,0.58984,-0.98242,-0.14062,0.01953,-0.22760,-0.13941,-0.99552
40,10742,3,-0.48474,-0.00635,-0.13220,0.86456,1.10547,-1.66406,0.32812,-0.88672,-0.20898,0.00586,-0.22657,-0.13960,-1.00610
41,9766,3,-0.48895,-0.00653,-0.13165,0.86230,0.87109,-1.57812,0.40625,-0.78320,-0.18555,-0.00195,-0.22474,-0.14047,-1.01577
42,9766,3,-0.49274,-0.00684,-0.13110,0.86023,0.63281,-1.45703,0.67578,-0.64453,-0.11328,-0.01953,-0.22286,-0.14143,-1.02450
43,12695,3,-0.49579,-0.00708,-0.13074,0.85852,0.42578,-1.34766,0.80859,-0.46875,-0.07227,0.00977,-0.22149,-0.14227,-1.03156
44,6836,3,-0.49817,-0.00714,-0.13049,0.85718,0.30859,-1.31641,0.81641,-0.30273,0.00586,0.05469,-0.22061,-0.14274,-1.03709
45,10742,3,-0.49982,-0.00702,-0.13019,0.85626,0.20312,-1.33203,1.00000,-0.12891,0.15234,0.12109,-0.21992,-0.14264,-1.04095
46,9766,3,-0.50073,-0.00635,-0.12994,0.85577,0.13281,-1.43750,1.33203,0.07227,0.25391,0.17383,-0.22000,-0.14147,-1.04317
47,9765,3,-0.50073,-0.00513,-0.12976,0.85583,0.22656,-1.53906,1.40625,0.34766,0.35352,0.22070,-0.22087,-0.13917,-1.04330
48,9766,3,-0.49957,-0.00354,-0.12958,0.85651,0.06641,-1.78516,1.84375,0.72656,0.41016,0.27148,-0.22230,-0.13595,-1.04085
49,10742,3,-0.49713,-0.00171,-0.12933,0.85797,0.41797,-2.18359,2.41016,1.16406,0.33203,0.31055,-0.22403,-0.13191,-1.03545
50,9766,3,-0.49268,0.00000,-0.12891,0.86060,0.57422,-2.48828,2.09375,1.56836,-0.10352,0.49609,-0.22560,-0.12737,-1.02543
51,9765,3,-0.48663,0.00055,-0.12738,0.86426,0.38281,-2.78906,1.20312,1.91211,-0.31641,0.54492,-0.22428,-0.12334,-1.01173
52,10743,3,-0.47919,-0.00024,-0.12451,0.86884,0.09766,-2.29297,1.49219,2.28711,-0.43359,0.49023,-0.21945,-0.12004,-0.99479
53,9765,3,-0.47028,-0.00195,-0.12128,0.87415,0.55078,-1.93359,2.27734,2.62695,-0.26367,0.21289,-0.21327,-0.11775,-0.97452
54,9766,3,-0.45978,-0.00421,-0.11877,0.88007,0.63672,-1.83984,2.89453,3.15234,0.16016,-0.08984,-0.20809,-0.11689,-0.95065
55,9765,3,-0.44702,-0.00604,-0.11823,0.88666,0.98047,-1.84766,3.71094,3.74414,0.54688,-0.35352,-0.20712,-0.11668,-0.92181
56,10743,3,-0.43121,-0.00708,-0.11981,0.89423,0.36719,-2.39844,3.16016,4.31055,0.67773,-0.50586,-0.21115,-0.11625,-0.88631
