lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1001953,3,-0.09766,-0.13580,-0.44769,0.87842,-0.94922,1.07031,-2.42969,-1.20508,-0.76367,0.14453,-0.93382,-0.33209,-0.05288
1,10742,3,-0.10358,-0.13647,-0.44775,0.87756,-1.46875,1.08984,-2.74219,-1.68555,-0.77344,0.30078,-0.93277,-0.33874,-0.06321
2,9766,3,-0.11218,-0.13647,-0.44751,0.87665,-1.76953,1.12109,-3.09375,-2.34961,-0.74414,0.50586,-0.93009,-0.34659,-0.07934
3,9766,3,-0.12305,-0.13501,-0.44684,0.87573,-1.98828,1.12500,-3.77344,-3.11523,-0.63867,0.73828,-0.92550,-0.35378,-0.10130
4,12695,3,-0.13702,-0.13153,-0.44574,0.87482,-2.35547,1.39844,-4.14062,-3.87891,-0.53516,0.99609,-0.91856,-0.35999,-0.13124
5,7812,3,-0.15332,-0.12592,-0.44397,0.87378,-2.46484,0.96875,-4.57031,-4.53906,-0.43359,1.24219,-0.90923,-0.36420,-0.16788
6,9766,3,-0.17371,-0.11768,-0.44141,0.87244,-2.53125,0.62500,-4.19922,-5.02148,-0.39258,1.43555,-0.89674,-0.36685,-0.21506
7,9766,3,-0.19720,-0.10724,-0.43793,0.87054,-2.53125,0.16016,-3.88281,-5.30664,-0.35547,1.51562,-0.88156,-0.36766,-0.27057
8,9765,3,-0.22101,-0.09613,-0.43396,0.86810,-1.94922,-1.25781,-1.96484,-5.29102,-0.33008,1.54492,-0.86583,-0.36689,-0.32751
9,10742,3,-0.24542,-0.08429,-0.42944,0.86499,-1.00781,-1.46875,-1.08594,-5.04688,-0.45117,1.46875,-0.84951,-0.36465,-0.38653
10,9766,3,-0.26947,-0.07281,-0.42462,0.86127,0.01172,-1.35938,-0.68359,-4.69922,-0.58398,1.30078,-0.83335,-0.36214,-0.44476
11,9766,3,-0.29199,-0.06268,-0.41986,0.85706,0.56250,-1.41797,-0.19141,-4.33789,-0.61328,1.13281,-0.81827,-0.36038,-0.49907
12,11718,3,-0.31195,-0.05426,-0.41547,0.85272,1.07031,-2.83594,1.39844,-3.86328,-0.58984,0.99414,-0.80490,-0.35944,-0.54705
13,8790,3,-0.33105,-0.04651,-0.41119,0.84802,1.50000,-2.89062,2.28516,-3.24414,-0.52539,0.91797,-0.79228,-0.35879,-0.59297
14,9765,3,-0.34802,-0.03967,-0.40710,0.84357,2.04297,-2.93750,3.07812,-2.52734,-0.39844,0.85547,-0.78072,-0.35788,-0.63400
15,9766,3,-0.36127,-0.03406,-0.40326,0.84009,2.60156,-3.08203,3.67969,-1.81250,-0.30078,0.72266,-0.77065,-0.35605,-0.66655
16,10742,3,-0.37122,-0.02966,-0.39984,0.83752,3.11719,-3.27734,3.77344,-1.13867,-0.24023,0.55273,-0.76221,-0.35388,-0.69137
17,9766,3,-0.37799,-0.02655,-0.39709,0.83588,3.28516,-3.30469,3.82812,-0.57812,-0.16797,0.34961,-0.75571,-0.35181,-0.70851
18,9765,3,-0.38208,-0.02472,-0.39502,0.83508,3.45312,-3.33984,3.69922,-0.17383,-0.05273,0.10352,-0.75088,-0.35026,-0.71895
19,9766,3,-0.38391,-0.02399,-0.39404,0.83472,3.34766,-3.80859,3.60938,0.21484,0.16992,-0.08008,-0.74860,-0.34969,-0.72360
20,10742,3,-0.38373,-0.02368,-0.39423,0.83478,3.58594,-3.84766,4.22266,0.79883,0.42969,-0.18945,-0.74918,-0.34911,-0.72330
21,9766,3,-0.38092,-0.02362,-0.39539,0.83545,4.08203,-3.73047,4.71875,1.49609,0.61328,-0.31641,-0.75265,-0.34766,-0.71702
22,9765,3,-0.37512,-0.02417,-0.39740,0.83710,4.56641,-3.62500,4.63281,2.08594,0.71680,-0.50391,-0.75853,-0.34546,-0.70374
23,9766,3,-0.36658,-0.02557,-0.40015,0.83954,4.12891,-2.87891,3.55078,2.56641,0.83789,-0.66797,-0.76640,-0.34300,-0.68396
24,10742,3,-0.35461,-0.02814,-0.40393,0.84277,3.88281,-2.72656,3.30859,3.10938,0.99219,-0.85352,-0.77701,-0.34045,-0.65608
25,9766,3,-0.34070,-0.03125,-0.40839,0.84625,3.75391,-2.50391,3.54297,3.68945,1.07812,-1.09961,-0.78947,-0.33755,-0.62375
26,12695,3,-0.32385,-0.03552,-0.41382,0.85010,3.73828,-2.37109,3.12500,4.07227,1.09766,-1.33594,-0.80451,-0.33462,-0.58451
27,6836,3,-0.30573,-0.04059,-0.41968,0.85370,3.21875,-2.00781,1.52734,4.24805,1.15234,-1.52148,-0.82074,-0.33196,-0.54227
28,10742,3,-0.28503,-0.04675,-0.42664,0.85706,3.01172,-1.89453,0.64844,4.20312,1.17773,-1.66797,-0.84002,-0.32927,-0.49401
29,9766,3,-0.26324,-0.05328,-0.43427,0.85980,2.62109,-1.77344,-0.41797,3.99609,1.18164,-1.81055,-0.86129,-0.32601,-0.44339
30,9765,3,-0.24280,-0.05927,-0.44202,0.86151,1.54297,-0.90625,-1.60938,3.72461,1.19727,-1.89062,-0.88288,-0.32229,-0.39608
31,9766,3,-0.22241,-0.06506,-0.45032,0.86224,1.03906,-0.69922,-2.17188,3.34375,1.22852,-1.87109,-0.90607,-0.31785,-0.34915
