lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,4267578,3,-0.02460,-0.15729,-0.23364,0.95923,-1.90625,-0.07812,-2.59375,-0.81445,-0.32812,0.29102,-0.48229,-0.31859,0.02771
1,10742,3,-0.02875,-0.15778,-0.23315,0.95911,-2.12109,-0.19141,-2.39453,-0.87500,-0.57812,0.50391,-0.48009,-0.32158,0.01943
2,9766,3,-0.03369,-0.15887,-0.23187,0.95911,-2.12109,-0.14453,-2.83984,-1.07227,-0.95898,0.70312,-0.47599,-0.32612,0.00955
3,9765,3,-0.03961,-0.16132,-0.22968,0.95898,-2.34375,0.08203,-3.65234,-1.53125,-1.19141,0.94336,-0.46981,-0.33376,-0.00198
4,9766,3,-0.04779,-0.16479,-0.22656,0.95874,-3.82422,-0.10938,-3.57422,-2.05664,-1.22266,1.32031,-0.46098,-0.34443,-0.01803
5,10742,3,-0.04779,-0.16479,-0.22656,0.95874,-4.08984,-0.01953,-3.45703,-2.57812,-1.46484,1.73828,-0.46098,-0.34443,-0.01803
6,9766,3,-0.07251,-0.17163,-0.21655,0.95831,-3.89844,0.39844,-4.96484,-3.26953,-1.71094,2.12305,-0.43154,-0.36866,-0.06935
7,9765,3,-0.08984,-0.17535,-0.20917,0.95782,-3.44922,0.65234,-6.10547,-3.95508,-1.83984,2.53516,-0.40932,-0.38278,-0.10666
8,9766,3,-0.11102,-0.17902,-0.20038,0.95679,-3.39844,0.91016,-5.89062,-4.50391,-1.83594,2.94336,-0.38198,-0.39745,-0.15321
9,10742,3,-0.13550,-0.18195,-0.18994,0.95520,-3.42969,1.05078,-5.48047,-4.84180,-1.91211,3.32812,-0.34903,-0.41052,-0.20845
10,12696,3,-0.16272,-0.18427,-0.17773,0.95288,-3.10938,0.92969,-5.49219,-5.08398,-1.92188,3.50391,-0.31043,-0.42136,-0.27137
11,6836,3,-0.18970,-0.18604,-0.16498,0.94983,-2.18359,-0.63672,-4.87500,-5.27734,-2.08008,3.52734,-0.27031,-0.42904,-0.33501
