lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,881836,3,-0.03943,0.09949,0.07147,0.99170,-0.70703,-0.59766,2.77734,0.92188,0.30469,-0.64648,0.13718,0.20437,-0.06539
1,10742,3,-0.03595,0.10114,0.06818,0.99188,-0.65234,-0.74219,3.19922,1.28125,0.25781,-0.76562,0.13114,0.20701,-0.05881
2,8789,3,-0.03101,0.10272,0.06427,0.99213,-1.01562,-1.02344,3.46484,1.99219,0.15820,-1.03906,0.12419,0.20935,-0.04942
3,10743,3,-0.02368,0.10406,0.05920,0.99249,-0.49219,-1.23828,5.25781,2.78906,-0.05469,-1.34570,0.11541,0.21095,-0.03548
4,12695,3,-0.02368,0.10406,0.05920,0.99249,-0.72266,-1.83203,5.37500,3.41211,-0.23242,-1.62695,0.11541,0.21095,-0.03548
5,6836,3,0.00214,0.10486,0.04333,0.99353,-1.04297,-2.55078,4.82812,3.49219,-0.27539,-1.74609,0.08861,0.20971,0.01363
6,9766,3,0.01837,0.10431,0.03333,0.99384,-2.13281,-3.15234,3.25000,3.23242,-0.21680,-1.59570,0.07167,0.20759,0.04444
7,10742,3,0.03491,0.10376,0.02295,0.99371,-4.71484,-2.65234,0.92969,2.96484,-0.19922,-1.26758,0.05402,0.20607,0.07582
8,9765,3,0.03491,0.10376,0.02295,0.99371,-5.82422,-2.39062,0.49219,2.59961,-0.23633,-0.81641,0.05402,0.20607,0.07582
9,9766,3,0.06287,0.10266,0.00781,0.99268,-6.71484,-2.40234,-0.21094,2.47070,-0.34570,-0.35156,0.02903,0.20426,0.12947
10,10742,3,0.07495,0.10150,0.00372,0.99200,-6.53906,-1.32812,-0.26562,2.51953,-0.63867,0.09766,0.02307,0.20220,0.15316
11,9766,3,0.08765,0.09906,0.00177,0.99121,-6.11719,-1.33984,-0.96094,2.53516,-1.05859,0.53125,0.02129,0.19735,0.17850
12,9765,3,0.10022,0.09479,0.00189,0.99042,-5.98047,-1.35156,-1.58984,2.42578,-1.42773,0.93750,0.02316,0.18850,0.20388
13,10743,3,0.11298,0.08820,0.00391,0.98969,-5.68359,-1.32812,-1.94141,2.19922,-1.69922,1.31445,0.02809,0.17457,0.22978
14,12695,3,0.12506,0.07971,0.00781,0.98889,-4.78516,-1.10938,-2.45312,1.90820,-1.76758,1.69141,0.03584,0.15634,0.25440
15,6836,3,0.13513,0.07092,0.01312,0.98822,-4.58984,-1.07422,-2.50000,1.61328,-1.75781,2.10352,0.04554,0.13705,0.27493
16,9765,3,0.14471,0.06097,0.02094,0.98737,-4.49219,-1.15625,-2.82812,1.39453,-1.77148,2.54102,0.05941,0.11460,0.29447
17,9766,3,0.15332,0.05035,0.03125,0.98639,-4.31641,-1.28125,-2.83594,1.39453,-1.79297,2.79492,0.07748,0.08988,0.31189
18,10742,3,0.16119,0.03961,0.04297,0.98517,-2.25781,-0.90625,-2.00781,1.44141,-1.81445,2.89648,0.09779,0.06424,0.32751
19,9766,3,0.16913,0.02875,0.05548,0.98364,-1.85547,-1.08594,-2.46484,1.12891,-1.90625,3.12305,0.11923,0.03779,0.34281
20,9766,3,0.17633,0.01740,0.06866,0.98175,-1.90234,-1.51172,-3.57422,0.58594,-1.92773,3.38477,0.14144,0.00994,0.35613
21,9765,3,0.18127,0.00586,0.08258,0.97992,-1.26172,-1.20703,-4.41797,0.13867,-1.88281,3.55469,0.16475,-0.01846,0.36432
22,12695,3,0.18402,-0.00690,0.09857,0.97797,-0.60156,-1.15234,-3.94922,-0.10547,-1.76367,3.58203,0.19166,-0.04979,0.36720
23,7813,3,0.18475,-0.01849,0.11371,0.97601,0.12109,-0.89844,-3.47656,-0.40430,-1.56055,3.64648,0.21750,-0.07820,0.36562
24,9766,3,0.18408,-0.03021,0.13013,0.97382,-0.04688,-1.02734,-3.69531,-0.82617,-1.24219,3.80664,0.24618,-0.10695,0.36041
25,9765,3,0.18127,-0.04144,0.14795,0.97137,0.10938,-1.11719,-4.01172,-1.25195,-0.92773,3.92969,0.27846,-0.13455,0.35010
26,10742,3,0.17627,-0.05072,0.16528,0.96906,0.55078,-1.19141,-4.10156,-1.64258,-0.72266,3.98633,0.31122,-0.15721,0.33515
27,9766,3,0.16888,-0.05939,0.18353,0.96655,0.85156,-1.38672,-4.09766,-1.94531,-0.58789,4.00977,0.34702,-0.17774,0.31473
28,12695,3,0.15961,-0.06757,0.20184,0.96399,1.83203,-1.60547,-3.75391,-2.03516,-0.52930,3.87305,0.38411,-0.19594,0.28994
29,6836,3,0.14948,-0.07513,0.21930,0.96118,2.41797,-1.50000,-2.94922,-2.08789,-0.53906,3.66406,0.42052,-0.21158,0.26324
30,10742,3,0.13885,-0.08264,0.23615,0.95819,2.62891,-1.54297,-3.21875,-2.34766,-0.53906,3.49609,0.45648,-0.22587,0.23515
31,9766,3,0.12671,-0.09070,0.25293,0.95483,2.62109,-1.53516,-3.69922,-2.67969,-0.47070,3.34570,0.49334,-0.23960,0.20326
32,9766,3,0.11426,-0.09808,0.26733,0.95178,3.09375,-1.50000,-4.03906,-2.99219,-0.45117,3.21289,0.52605,-0.25040,0.17120
33,10742,3,0.09918,-0.10626,0.28192,0.94836,3.11328,-1.29297,-4.07031,-3.10156,-0.52344,3.05469,0.56045,-0.26041,0.13307
34,11719,3,0.09918,-0.10626,0.28192,0.94836,3.26562,-1.11719,-3.81641,-3.19336,-0.56055,2.91797,0.56045,-0.26041,0.13307
35,7812,3,0.06854,-0.12244,0.30664,0.94141,3.27344,-1.01953,-3.51953,-3.35352,-0.36133,2.82812,0.62198,-0.27606,0.05612
36,9766,3,0.05109,-0.13104,0.31866,0.93738,3.37109,-1.26172,-3.09766,-3.47266,-0.22070,2.71875,0.65358,-0.28195,0.01276
37,10742,3,0.03400,-0.13837,0.32928,0.93341,3.61328,-1.06250,-3.37891,-3.62695,-0.18945,2.61523,0.68242,-0.28452,-0.02882
38,9766,3,0.03400,-0.13837,0.32928,0.93341,3.61328,-1.00391,-3.73828,-3.86914,-0.15625,2.56055,0.68242,-0.28452,-0.02882
39,9765,3,-0.00238,-0.15265,0.34827,0.92487,3.35547,-0.94141,-4.15234,-4.18555,-0.16211,2.55469,0.73685,-0.28453,-0.11563
40,9766,3,-0.02350,-0.16064,0.35736,0.91974,2.84375,-1.27734,-5.50781,-4.59766,-0.10547,2.58203,0.76474,-0.28245,-0.16532
41,10742,3,-0.04529,-0.16864,0.36560,0.91425,2.29688,-1.42188,-5.57422,-4.97461,0.16602,2.64062,0.79127,-0.27884,-0.21608
42,11719,3,-0.06970,-0.17670,0.37360,0.90796,1.82422,-1.44141,-4.76953,-5.17773,0.43750,2.67188,0.81814,-0.27212,-0.27180
43,7812,3,-0.09436,-0.18347,0.38068,0.90137,2.07812,-1.93750,-4.71094,-5.42773,0.64844,2.58984,0.84260,-0.26191,-0.32652
44,9766,3,-0.12286,-0.19006,0.38763,0.89362,2.36719,-1.98828,-4.38672,-5.73828,0.90820,2.40430,0.86733,-0.24693,-0.38807
45,10742,3,-0.15179,-0.19586,0.39301,0.88550,3.33594,-1.70703,-4.25391,-6.01758,1.11328,2.17188,0.88807,-0.22958,-0.44913
46,11719,3,-0.18176,-0.20105,0.39648,0.87708,3.94141,-1.50781,-4.39453,-6.24023,1.34375,1.90039,0.90419,-0.21010,-0.51101
47,7812,3,-0.21210,-0.20575,0.39807,0.86847,3.75391,-2.59375,-3.46094,-6.39453,1.62305,1.61719,0.91556,-0.18965,-0.57271
48,10743,3,-0.24377,-0.20990,0.39752,0.85938,3.69141,-2.60547,-2.09766,-6.31641,1.94922,1.28516,0.92187,-0.16773,-0.63625
49,9765,3,-0.27765,-0.21320,0.39471,0.84955,4.07812,-2.45703,-0.49609,-6.05273,2.08398,0.85156,0.92262,-0.14354,-0.70320
50,9766,3,-0.30865,-0.21527,0.38977,0.84052,5.44531,-3.03906,1.48828,-5.67383,2.08594,0.31836,0.91731,-0.12157,-0.76395
