lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,914062,3,0.14978,-0.37201,-0.02643,0.91571,-2.26172,-0.20312,-1.69531,-0.47656,-0.12891,0.63477,-0.21791,-0.73874,0.40891
1,6836,3,0.14673,-0.37292,-0.02478,0.91583,-2.46875,-0.33203,-2.07812,-0.60352,-0.14453,0.75391,-0.21164,-0.74208,0.40033
2,9766,3,0.14276,-0.37402,-0.02271,0.91608,-2.69141,-0.36328,-2.19922,-0.76758,-0.15820,0.90039,-0.20348,-0.74612,0.38907
3,10742,3,0.13806,-0.37524,-0.02039,0.91638,-2.98047,-0.30078,-2.36328,-0.97070,-0.17969,1.08398,-0.19399,-0.75060,0.37570
4,9765,3,0.13214,-0.37665,-0.01770,0.91675,-3.25000,-0.21094,-2.55469,-1.19922,-0.19727,1.28906,-0.18238,-0.75578,0.35888
5,9766,3,0.12476,-0.37817,-0.01447,0.91718,-3.66406,-0.32422,-2.68359,-1.39844,-0.18750,1.51953,-0.16783,-0.76162,0.33771
6,10742,3,0.11615,-0.37982,-0.01074,0.91766,-3.62891,-0.37500,-2.62109,-1.61914,-0.21875,1.73438,-0.15063,-0.76789,0.31275
7,9766,3,0.10602,-0.38165,-0.00629,0.91821,-3.74219,-0.34766,-2.86719,-1.86914,-0.25000,1.98828,-0.12975,-0.77471,0.28290
8,9766,3,0.09454,-0.38361,-0.00128,0.91864,-4.28906,-0.79688,-3.14453,-2.16797,-0.29688,2.30273,-0.10573,-0.78179,0.24872
9,9765,3,0.08087,-0.38586,0.00464,0.91901,-4.48828,-0.91797,-3.19922,-2.48633,-0.31445,2.64648,-0.07659,-0.78944,0.20746
10,10742,3,0.06549,-0.38824,0.01123,0.91919,-4.61328,-1.01953,-3.04297,-2.75586,-0.23438,3.00195,-0.04323,-0.79687,0.16046
11,8789,3,0.04773,-0.39050,0.01904,0.91919,-4.61328,-1.05859,-2.66016,-2.98047,-0.19922,3.35352,-0.00327,-0.80334,0.10515
12,11719,3,0.04773,-0.39050,0.01904,0.91919,-4.43750,-1.87891,-2.53906,-3.19922,-0.31445,3.69336,-0.00327,-0.80334,0.10515
13,8789,3,0.00812,-0.39435,0.03741,0.91815,-4.46094,-2.23047,-2.44531,-3.38672,-0.34570,4.02148,0.09055,-0.81069,-0.02120
14,10742,3,-0.01556,-0.39661,0.04901,0.91656,-4.49219,-2.94922,-1.44141,-3.36523,-0.52344,4.29297,0.14903,-0.81173,-0.09810
15,9766,3,-0.03955,-0.39899,0.06140,0.91406,-3.70703,-3.22266,-0.53516,-3.21094,-0.78320,4.45312,0.21018,-0.81033,-0.17690
16,11719,3,-0.06317,-0.40192,0.07477,0.91040,-2.22266,-3.73047,0.63672,-3.06445,-0.83594,4.56641,0.27374,-0.80727,-0.25606
