lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1011719,3,0.03595,-0.06738,-0.12933,0.98865,1.68359,1.44141,1.25000,0.00586,0.21289,-0.51758,-0.26572,-0.12426,0.08932
1,10742,3,0.03613,-0.06647,-0.13196,0.98834,1.54297,1.58594,1.39453,0.05469,0.32031,-0.52734,-0.27095,-0.12216,0.08976
2,9766,3,0.03662,-0.06506,-0.13458,0.98810,1.33984,1.84766,1.71094,0.12109,0.36719,-0.57812,-0.27614,-0.11900,0.09065
3,9765,3,0.03748,-0.06335,-0.13733,0.98779,0.99609,1.98438,2.50781,0.18164,0.37695,-0.59766,-0.28160,-0.11512,0.09218
4,10743,3,0.03748,-0.06335,-0.13733,0.98779,0.46484,1.76953,2.81250,0.24219,0.40820,-0.58789,-0.28160,-0.11512,0.09218
5,9765,3,0.04016,-0.05963,-0.14301,0.98712,0.19922,1.48047,3.31250,0.34766,0.44336,-0.58594,-0.29291,-0.10644,0.09704
6,9766,3,0.04211,-0.05762,-0.14581,0.98676,-0.25000,1.01953,4.33594,0.49805,0.49219,-0.59961,-0.29854,-0.10160,0.10060
7,12695,3,0.04474,-0.05548,-0.14862,0.98633,-0.65625,0.46484,4.86719,0.73828,0.53711,-0.62109,-0.30420,-0.09629,0.10543
8,6836,3,0.04816,-0.05341,-0.15131,0.98584,-1.13672,-0.10156,5.44141,1.03125,0.57617,-0.62109,-0.30967,-0.09086,0.11181
9,9766,3,0.05316,-0.05115,-0.15411,0.98529,-1.65234,-0.72656,5.75391,1.35938,0.57422,-0.61133,-0.31545,-0.08451,0.12125
10,10742,3,0.05963,-0.04913,-0.15674,0.98462,-2.89062,-1.73047,5.90625,1.69531,0.52344,-0.59375,-0.32096,-0.07814,0.13363
11,9766,3,0.06805,-0.04736,-0.15936,0.98376,-3.64062,-2.35547,5.58594,1.98438,0.40820,-0.51172,-0.32657,-0.07155,0.14993
12,10742,3,0.07770,-0.04639,-0.16150,0.98273,-4.26562,-2.84766,5.06641,2.25781,0.23047,-0.43555,-0.33136,-0.06612,0.16886
13,8789,3,0.08838,-0.04633,-0.16327,0.98151,-4.76562,-3.12891,4.60547,2.50781,0.00586,-0.36328,-0.33560,-0.06212,0.19013
14,10742,3,0.10040,-0.04755,-0.16467,0.98004,-5.62109,-3.24609,3.07422,2.66602,-0.26953,-0.22070,-0.33942,-0.06017,0.21450
15,9766,3,0.11292,-0.05017,-0.16559,0.97839,-6.28125,-3.38281,2.01953,2.72656,-0.52539,0.03125,-0.34266,-0.06082,0.24033
16,9765,3,0.12598,-0.05432,-0.16565,0.97662,-6.65625,-3.33594,0.96875,2.74219,-0.74219,0.31055,-0.34471,-0.06441,0.26778
17,13672,3,0.12598,-0.05432,-0.16565,0.97662,-6.45312,-3.09375,-0.86719,2.72266,-0.91797,0.63281,-0.34471,-0.06441,0.26778
18,6836,3,0.15057,-0.06610,-0.16211,0.97296,-6.41406,-3.22266,-1.73828,2.62695,-1.06641,0.98047,-0.34313,-0.07990,0.32093
19,9766,3,0.16254,-0.07379,-0.15808,0.97113,-6.50000,-3.30078,-2.80078,2.37695,-1.24023,1.37109,-0.33890,-0.09207,0.34743
20,9765,3,0.17389,-0.08276,-0.15210,0.96942,-6.71875,-3.38281,-4.01172,2.03906,-1.34766,1.83594,-0.33161,-0.10778,0.37303
21,10743,3,0.18256,-0.09167,-0.14484,0.96814,-6.16406,-3.17188,-5.44922,1.67969,-1.57422,2.25977,-0.32191,-0.12495,0.39306
22,9765,3,0.18982,-0.10236,-0.13513,0.96710,-5.49219,-3.19922,-6.27344,1.29297,-1.88867,2.68359,-0.30836,-0.14720,0.41054
23,9766,3,0.19458,-0.11420,-0.12390,0.96631,-5.16797,-3.29297,-6.72656,0.79688,-2.13672,3.16211,-0.29236,-0.17335,0.42300
24,9765,3,0.19666,-0.12744,-0.11115,0.96576,-4.89062,-3.44531,-7.14453,0.13477,-2.15039,3.68359,-0.27382,-0.20386,0.42994
25,13672,3,0.19666,-0.12744,-0.11115,0.96576,-3.63281,-3.80469,-7.46484,-0.57031,-1.99609,4.16016,-0.27382,-0.20386,0.42994
26,6836,3,0.19086,-0.15442,-0.08051,0.96606,-2.83203,-3.72656,-7.84766,-1.21680,-1.88477,4.57422,-0.22448,-0.27092,0.42082
27,9766,3,0.18231,-0.16760,-0.06195,0.96686,-2.09766,-3.63672,-8.05469,-1.68359,-1.80078,4.88672,-0.19090,-0.30628,0.40230
28,9765,3,0.17041,-0.18066,-0.04150,0.96777,0.10156,-3.62500,-8.00781,-1.86523,-1.88281,4.98242,-0.15122,-0.34218,0.37477
29,10743,3,0.15656,-0.19366,-0.02032,0.96826,1.39062,-3.36719,-7.80859,-1.79102,-2.16602,4.87500,-0.10779,-0.37760,0.34121
30,9765,3,0.14276,-0.20691,-0.00006,0.96790,2.65625,-3.25391,-7.39453,-1.58984,-2.47852,4.62891,-0.06465,-0.41207,0.30640
31,12696,3,0.12946,-0.22168,0.01971,0.96631,3.66406,-3.17578,-6.77344,-1.49414,-2.59375,4.34766,-0.02141,-0.44838,0.27124
32,7812,3,0.11780,-0.23615,0.03711,0.96381,4.94531,-3.47656,-5.76562,-1.62500,-2.42578,4.10742,0.01795,-0.48247,0.23882
33,9766,3,0.10565,-0.25104,0.05420,0.96063,5.23047,-3.06250,-5.75781,-1.96484,-1.97852,3.83398,0.05879,-0.51645,0.20355
34,9765,3,0.09198,-0.26471,0.07043,0.95734,5.73828,-2.04688,-5.59375,-2.26953,-1.49805,3.33398,0.10103,-0.54661,0.16323
35,9766,3,0.07764,-0.27539,0.08392,0.95453,7.35938,-0.46094,-5.63281,-2.66602,-1.03516,2.62695,0.13987,-0.56895,0.12135
36,10742,3,0.06226,-0.28357,0.09418,0.95227,9.64062,0.36719,-5.08594,-3.08984,-0.43750,1.86328,0.17361,-0.58453,0.07821
37,9766,3,0.04565,-0.28906,0.10046,0.95093,9.37891,0.07422,-4.17578,-3.34570,0.03320,1.19141,0.19992,-0.59309,0.03467
38,9765,3,0.02814,-0.29199,0.10297,0.95044,8.82422,-0.10938,-3.23828,-3.53906,0.34766,0.71094,0.21829,-0.59540,-0.00803
39,12696,3,0.01093,-0.29291,0.10242,0.95056,7.38672,-0.82422,-2.09766,-3.75195,0.68750,0.44922,0.22913,-0.59331,-0.04733
40,6836,3,-0.00732,-0.29224,0.09979,0.95111,7.16406,-0.54297,-1.29297,-3.87891,1.17773,0.26367,0.23540,-0.58767,-0.08693
41,10742,3,-0.02655,-0.28961,0.09576,0.95197,7.51172,0.02344,-0.57422,-3.87500,1.55469,-0.01758,0.23830,-0.57797,-0.12692
42,9765,3,-0.04681,-0.28467,0.09021,0.95325,7.78125,0.59766,0.08203,-3.57617,1.66602,-0.39844,0.23719,-0.56362,-0.16711
43,9766,3,-0.06512,-0.27863,0.08337,0.95459,6.91797,0.85547,2.28906,-2.95703,1.48047,-0.82617,0.23105,-0.54808,-0.20145
44,10742,3,-0.08026,-0.27264,0.07538,0.95581,6.37500,0.59375,3.34766,-2.15039,1.07812,-1.31641,0.22002,-0.53411,-0.22797
45,9766,3,-0.09155,-0.26788,0.06622,0.95679,5.68750,0.17188,4.56641,-1.40820,0.69922,-1.79297,0.20446,-0.52418,-0.24582
46,9766,3,-0.09833,-0.26489,0.05579,0.95764,4.61719,-1.25000,5.97656,-0.87500,0.49023,-2.25391,0.18412,-0.51940,-0.25369
47,12695,3,-0.10132,-0.26331,0.04425,0.95837,4.31641,-1.55469,6.55078,-0.33594,0.28906,-2.72656,0.15977,-0.51865,-0.25313
48,7812,3,-0.10101,-0.26282,0.03186,0.95898,4.28516,-1.93359,6.74219,0.13086,0.08203,-3.07422,0.13206,-0.52091,-0.24513
49,9766,3,-0.09772,-0.26343,0.01776,0.95953,3.75000,-2.60938,6.96094,0.53516,0.19922,-3.23242,0.09911,-0.52601,-0.22968
50,9766,3,-0.09192,-0.26422,0.00287,0.96008,2.62109,-2.91406,7.71484,1.08398,0.37891,-3.34766,0.06278,-0.53148,-0.20799
51,9765,3,-0.08337,-0.26428,-0.01263,0.96075,2.42969,-3.19141,7.72656,1.74609,0.41992,-3.43359,0.02301,-0.53510,-0.17943
52,10742,3,-0.07190,-0.26379,-0.02734,0.96149,1.95312,-3.48047,7.61328,2.19922,0.46875,-3.40039,-0.01705,-0.53660,-0.14459
53,9766,3,-0.05792,-0.26312,-0.04120,0.96216,0.95703,-4.12500,6.82812,2.29883,0.69922,-3.16797,-0.05680,-0.53645,-0.10464
54,9766,3,-0.04254,-0.26166,-0.05426,0.96271,-1.40234,-4.43750,4.87500,2.15234,0.96875,-2.80664,-0.09561,-0.53333,-0.06218
55,13672,3,-0.02759,-0.25885,-0.06598,0.96326,-2.21875,-4.31250,3.90234,2.10352,1.16797,-2.43750,-0.13086,-0.52629,-0.02197
56,5859,3,-0.01428,-0.25494,-0.07550,0.96393,-2.56250,-3.96094,3.69531,2.32227,1.22852,-2.18750,-0.15966,-0.51625,0.01261
57,10742,3,-0.00012,-0.25012,-0.08392,0.96460,-2.53125,-3.72656,3.71484,2.55469,1.09570,-2.04492,-0.18584,-0.50354,0.04768
58,9766,3,0.01538,-0.24530,-0.09137,0.96503,-3.14844,-3.13672,2.09766,2.53906,0.98633,-1.88867,-0.20995,-0.48999,0.08455
59,9765,3,0.03070,-0.24121,-0.09766,0.96503,-3.61328,-3.06641,0.92578,2.40430,1.00000,-1.67188,-0.23096,-0.47752,0.12006
60,9766,3,0.04517,-0.23737,-0.10309,0.96490,-3.78125,-2.73438,0.16797,2.29102,0.93555,-1.47852,-0.24916,-0.46535,0.15288
61,10742,3,0.05847,-0.23364,-0.10754,0.96460,-3.79297,-1.97266,-1.13672,2.23047,0.80273,-1.32227,-0.26426,-0.45355,0.18240
62,9766,3,0.07190,-0.23016,-0.11151,0.96405,-3.61719,-1.62500,-1.48828,2.23242,0.68359,-1.19531,-0.27806,-0.44201,0.21174
63,10742,3,0.08466,-0.22729,-0.11481,0.96332,-3.41406,-1.48438,-1.85547,2.19531,0.63281,-1.03906,-0.28996,-0.43177,0.23933
64,9766,3,0.09692,-0.22491,-0.11737,0.96240,-3.28906,-1.50000,-2.33984,2.08984,0.63672,-0.87695,-0.30001,-0.42265,0.26557
65,12695,3,0.10876,-0.22266,-0.11932,0.96143,-2.79297,-0.92188,-3.46484,1.94336,0.62305,-0.80078,-0.30837,-0.41390,0.29054
66,7812,3,0.11920,-0.22046,-0.12073,0.96051,-2.41406,-0.73438,-3.96875,1.74609,0.59375,-0.77734,-0.31481,-0.40578,0.31222
67,9766,3,0.12927,-0.21820,-0.12213,0.95953,-2.10547,-0.72656,-4.36719,1.53320,0.57422,-0.77930,-0.32089,-0.39758,0.33302
68,9766,3,0.13879,-0.21576,-0.12378,0.95856,-1.72266,-0.55469,-4.98828,1.29492,0.52148,-0.78320,-0.32700,-0.38903,0.35257
69,9765,3,0.14679,-0.21350,-0.12567,0.95764,-1.95703,-0.67188,-5.34766,0.93164,0.49609,-0.68359,-0.33295,-0.38118,0.36901
70,10742,3,0.15314,-0.21124,-0.12769,0.95691,-2.46094,-0.71484,-5.78125,0.52539,0.50195,-0.51367,-0.33839,-0.37380,0.38196
71,8790,3,0.15765,-0.20886,-0.12946,0.95642,-2.62891,-0.53125,-6.12891,0.20117,0.45312,-0.33203,-0.34250,-0.36689,0.39089
72,10742,3,0.15997,-0.20660,-0.13074,0.95636,-2.76562,-0.08203,-6.08984,-0.04102,0.37695,-0.15430,-0.34476,-0.36115,0.39503
73,9765,3,0.16089,-0.20441,-0.13159,0.95654,-2.71875,-0.05078,-5.90625,-0.31445,0.33398,0.03906,-0.34564,-0.35620,0.39610
74,10743,3,0.16034,-0.20258,-0.13190,0.95703,-2.79688,-0.03516,-5.92969,-0.69336,0.35938,0.28125,-0.34503,-0.35270,0.39407
75,9765,3,0.15796,-0.20068,-0.13147,0.95782,-2.78125,-0.06250,-6.06641,-1.10156,0.39648,0.50195,-0.34226,-0.35003,0.38799
76,9766,3,0.15344,-0.19861,-0.13031,0.95917,-2.37500,0.14453,-6.22266,-1.44531,0.39648,0.63281,-0.33711,-0.34800,0.37707
77,9765,3,0.14697,-0.19635,-0.12866,0.96088,-1.97656,0.27734,-6.08594,-1.63086,0.39062,0.65820,-0.33020,-0.34641,0.36185
78,9766,3,0.13916,-0.19397,-0.12695,0.96277,-1.14844,0.43359,-5.75781,-1.72461,0.35938,0.59570,-0.32268,-0.34495,0.34379
79,10742,3,0.13074,-0.19159,-0.12543,0.96460,-0.41016,-0.12891,-5.16797,-1.81836,0.38281,0.52734,-0.31540,-0.34354,0.32459
80,9766,3,0.12170,-0.18903,-0.12433,0.96643,-0.24219,-0.48828,-4.96094,-1.86523,0.41211,0.50781,-0.30878,-0.34171,0.30423
81,9765,3,0.11261,-0.18634,-0.12354,0.96814,-0.21094,-0.42188,-4.82422,-1.92773,0.44141,0.49023,-0.30280,-0.33948,0.28388
82,9766,3,0.10321,-0.18335,-0.12280,0.96985,-0.17969,-0.31250,-4.79688,-2.05664,0.47461,0.47070,-0.29681,-0.33663,0.26284
83,12695,3,0.09369,-0.18030,-0.12231,0.97150,-0.34766,-0.19922,-5.23438,-2.32422,0.52344,0.46875,-0.29136,-0.33353,0.24167
84,7813,3,0.08282,-0.17676,-0.12195,0.97314,-0.62500,-0.21094,-5.44922,-2.70312,0.58789,0.51562,-0.28569,-0.32977,0.21767
85,9766,3,0.07037,-0.17273,-0.12177,0.97485,-1.03516,-0.42188,-5.50391,-3.16797,0.65430,0.64453,-0.27986,-0.32536,0.19035
86,9765,3,0.05548,-0.16797,-0.12146,0.97668,-1.55469,-0.78516,-5.37500,-3.63867,0.86914,0.83398,-0.27298,-0.32008,0.15782
87,10742,3,0.03864,-0.16235,-0.12073,0.97858,-2.38281,-1.55859,-4.17188,-4.00000,1.11328,1.06250,-0.26465,-0.31352,0.12099
88,9766,3,0.01965,-0.15533,-0.11920,0.98047,-2.51953,-1.48047,-3.88281,-4.23828,1.17578,1.24609,-0.25414,-0.30459,0.07930
89,9766,3,-0.00085,-0.14734,-0.11688,0.98218,-2.53125,-1.36719,-3.73828,-4.46875,1.16406,1.39844,-0.24196,-0.29382,0.03424
90,9765,3,-0.02252,-0.13904,-0.11383,0.98346,-2.95703,-1.87891,-3.57812,-4.72266,1.11914,1.56250,-0.22859,-0.28234,-0.01317
91,13672,3,-0.04565,-0.13055,-0.11005,0.98425,-3.14844,-2.09375,-3.39453,-4.99023,1.01562,1.73633,-0.21405,-0.27033,-0.06348
92,6836,3,-0.06934,-0.12244,-0.10571,0.98438,-3.41406,-2.41797,-2.87109,-5.14453,0.91797,1.90820,-0.19904,-0.25859,-0.11468
93,9766,3,-0.09479,-0.11432,-0.10046,0.98376,-3.34375,-2.67188,-1.85938,-5.06445,0.87891,2.00000,-0.18250,-0.24647,-0.16944
94,9765,3,-0.12067,-0.10632,-0.09442,0.98248,-2.03125,-3.44922,0.21094,-4.86719,0.84766,1.98828,-0.16509,-0.23382,-0.22498
95,13672,3,-0.14642,-0.09827,-0.08783,0.98041,-1.05469,-3.66016,0.70312,-4.72070,0.78906,1.82617,-0.14752,-0.22018,-0.28017
96,6836,3,-0.16974,-0.09088,-0.08185,0.97784,-0.35547,-4.01172,1.44141,-4.56250,0.74023,1.61719,-0.13243,-0.20701,-0.32997
97,9766,3,-0.19287,-0.08374,-0.07642,0.97467,0.16016,-4.13281,2.20312,-4.44531,0.78125,1.42578,-0.11916,-0.19392,-0.37911
98,10742,3,-0.21619,-0.07642,-0.07159,0.97070,0.09375,-4.69141,3.21484,-4.31836,0.88281,1.28711,-0.10791,-0.18029,-0.42851
99,12695,3,-0.23749,-0.06934,-0.06781,0.96655,-0.26953,-4.60156,3.60938,-4.11523,0.87305,1.22461,-0.09970,-0.16701,-0.47351
100,6836,3,-0.25739,-0.06232,-0.06458,0.96216,-0.55859,-4.30859,3.68359,-3.85938,0.72461,1.23438,-0.09342,-0.15376,-0.51557
101,9766,3,-0.27637,-0.05560,-0.06122,0.95752,-0.81641,-3.82031,3.44141,-3.51172,0.48828,1.24805,-0.08747,-0.14078,-0.55581
102,10742,3,-0.29510,-0.04950,-0.05707,0.95245,-0.38672,-3.30078,3.60547,-3.07227,0.17969,1.20703,-0.08024,-0.12833,-0.59575
103,9766,3,-0.31085,-0.04510,-0.05273,0.94794,0.16797,-2.87500,3.74609,-2.64062,-0.07617,1.13086,-0.07251,-0.11857,-0.62944
104,9765,3,-0.32477,-0.04224,-0.04797,0.94366,0.42969,-2.60156,3.99609,-2.30859,-0.19922,1.08398,-0.06354,-0.11110,-0.65938
105,9766,3,-0.33685,-0.04041,-0.04309,0.93970,0.34766,-2.82031,3.89062,-2.07812,-0.15234,1.05859,-0.05409,-0.10516,-0.68555
106,10742,3,-0.34729,-0.03894,-0.03839,0.93616,0.31641,-2.95312,4.48438,-1.75195,-0.07617,1.01758,-0.04507,-0.09974,-0.70822
107,9766,3,-0.35638,-0.03723,-0.03381,0.93298,0.79297,-3.07422,5.07031,-1.41211,-0.09180,0.92383,-0.03673,-0.09371,-0.72804
108,9765,3,-0.36395,-0.03558,-0.02954,0.93024,1.13281,-3.18750,5.24609,-1.15820,-0.16016,0.85352,-0.02918,-0.08782,-0.74459
109,9766,3,-0.37018,-0.03436,-0.02539,0.92798,1.52344,-2.85547,4.38281,-1.04883,-0.14844,0.76562,-0.02176,-0.08267,-0.75823
110,10742,3,-0.37549,-0.03339,-0.02161,0.92596,1.68359,-2.66406,4.22266,-0.98828,-0.13281,0.63867,-0.01499,-0.07814,-0.76991
111,12695,3,-0.38037,-0.03259,-0.01825,0.92407,1.90625,-2.42188,4.06250,-0.87500,-0.18359,0.49023,-0.00896,-0.07419,-0.78064
112,6836,3,-0.38452,-0.03223,-0.01562,0.92242,2.08984,-2.05469,4.09766,-0.71875,-0.21484,0.36523,-0.00405,-0.07153,-0.78977
113,9766,3,-0.38837,-0.03223,-0.01337,0.92084,2.22266,-2.03906,4.15234,-0.51367,-0.23633,0.28125,0.00042,-0.06979,-0.79825
114,10742,3,-0.39136,-0.03265,-0.01141,0.91962,2.46094,-1.99219,4.31250,-0.19336,-0.24414,0.19727,0.00458,-0.06904,-0.80486
115,9766,3,-0.39307,-0.03333,-0.00983,0.91888,2.80469,-2.03516,4.78906,0.21875,-0.24609,0.06250,0.00816,-0.06902,-0.80870
116,9765,3,-0.39307,-0.03418,-0.00867,0.91882,3.48438,-2.03516,5.25391,0.64258,-0.28711,-0.14453,0.01097,-0.06968,-0.80885
117,10743,3,-0.39105,-0.03558,-0.00818,0.91962,3.46875,-1.99219,5.10938,0.99414,-0.39648,-0.39648,0.01282,-0.07191,-0.80460
118,9765,3,-0.38727,-0.03778,-0.00848,0.92114,3.38672,-1.89453,4.77734,1.30859,-0.45508,-0.68359,0.01367,-0.07625,-0.79649
119,9766,3,-0.38190,-0.04083,-0.00983,0.92322,3.32422,-2.08594,4.81641,1.55859,-0.39648,-0.90625,0.01309,-0.08300,-0.78499
120,9765,3,-0.37512,-0.04443,-0.01221,0.92584,3.08203,-2.18750,4.60547,1.82031,-0.30469,-1.06836,0.01078,-0.09156,-0.77040
121,10743,3,-0.36700,-0.04810,-0.01562,0.92883,2.87500,-2.23438,4.64062,2.19531,-0.13281,-1.16406,0.00631,-0.10099,-0.75291
