lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,901367,3,0.10669,-0.33673,0.13678,0.92548,-1.35938,-0.48438,-2.66797,-2.68359,0.90039,0.09180,0.24162,-0.71084,0.13949
1,12695,3,0.09460,-0.33441,0.13281,0.92822,-1.71875,-0.25781,-3.51172,-3.16016,0.92383,0.25586,0.24246,-0.70225,0.11395
2,7813,3,0.08051,-0.33221,0.12909,0.93085,-1.91406,-0.19141,-4.20312,-3.72656,0.86133,0.40625,0.24542,-0.69355,0.08346
3,9765,3,0.06335,-0.33038,0.12512,0.93335,-2.43359,-0.37109,-4.68359,-4.30469,0.92383,0.62891,0.25013,-0.68491,0.04597
4,9766,3,0.04230,-0.32874,0.12067,0.93573,-3.89844,-2.01172,-2.71875,-4.68359,1.17773,0.96289,0.25657,-0.67567,-0.00023
5,9766,3,0.01898,-0.32660,0.11688,0.93774,-3.83984,-2.07422,-1.69922,-4.81250,1.33789,1.26172,0.26589,-0.66485,-0.05179
6,10742,3,-0.00604,-0.32343,0.11407,0.93933,-3.16406,-1.75000,-1.54688,-4.90234,1.26562,1.43164,0.27795,-0.65131,-0.10726
7,12695,3,-0.03162,-0.31995,0.11230,0.94025,-2.50391,-1.56641,-1.95312,-5.05664,1.29688,1.60156,0.29193,-0.63668,-0.16404
8,6836,3,-0.03162,-0.31995,0.11230,0.94025,-2.80859,-2.14062,-1.33984,-5.23047,1.26562,1.80273,0.29193,-0.63668,-0.16404
9,10742,3,-0.08502,-0.31262,0.11011,0.93964,-3.01953,-2.29688,-1.72266,-5.40625,1.10352,2.04102,0.32173,-0.60502,-0.28167
10,9766,3,-0.11481,-0.30884,0.11005,0.93774,-3.30078,-2.33203,-1.42188,-5.44727,0.93945,2.37305,0.33955,-0.58708,-0.34719
11,9765,3,-0.14423,-0.30560,0.11108,0.93457,-3.61328,-2.26172,-0.91406,-5.40625,0.56836,2.75195,0.35888,-0.56948,-0.41232
12,9766,3,-0.17426,-0.30304,0.11395,0.92999,-4.07031,-2.67969,-1.26562,-5.28125,0.14648,3.11523,0.38202,-0.55142,-0.47976
13,12695,3,-0.20349,-0.30164,0.11890,0.92383,-4.07422,-2.49219,-0.97656,-5.04883,-0.08594,3.46289,0.40914,-0.53395,-0.54698
14,7813,3,-0.23145,-0.30103,0.12579,0.91650,-4.15625,-2.36328,-0.35938,-4.73047,-0.32422,3.76562,0.43934,-0.51618,-0.61246
15,9765,3,-0.25903,-0.30066,0.13495,0.90790,-4.02344,-2.81250,-0.39844,-4.32812,-0.68164,4.03906,0.47322,-0.49614,-0.67785
16,9766,3,-0.28601,-0.30072,0.14667,0.89789,-3.62500,-3.05469,-0.80078,-4.03906,-0.96094,4.31250,0.51128,-0.47367,-0.74275
17,10742,3,-0.31067,-0.30133,0.16022,0.88715,-3.80078,-3.48438,-0.23438,-3.85742,-0.98438,4.57031,0.55114,-0.45014,-0.80298
18,8789,3,-0.33386,-0.30170,0.17517,0.87567,-4.10156,-4.14844,0.48438,-3.76758,-1.08594,4.73633,0.59153,-0.42401,-0.85948
19,10743,3,-0.35553,-0.30157,0.19061,0.86389,-3.31641,-5.11328,0.78125,-3.54102,-1.43750,4.83594,0.63024,-0.39577,-0.91138
20,9765,3,-0.37836,-0.30182,0.20880,0.84979,-2.24219,-5.17578,1.07812,-3.27344,-1.70312,4.82812,0.67372,-0.36288,-0.96609
21,12695,3,-0.37836,-0.30182,0.20880,0.84979,-1.63281,-5.34766,2.00391,-2.83008,-1.61523,4.82031,0.67372,-0.36288,-0.96609
22,7813,3,-0.41559,-0.30328,0.24481,0.82178,-1.00000,-5.26562,3.43359,-2.34766,-1.61719,4.88867,0.75455,-0.29945,-1.05584
23,9766,3,-0.43231,-0.30280,0.26508,0.80695,0.88672,-5.42578,3.10156,-1.92773,-1.54688,4.85742,0.79528,-0.26249,-1.09443
24,10742,3,-0.44604,-0.30133,0.28473,0.79321,1.12109,-5.26953,3.80859,-1.46875,-1.27344,4.75000,0.83203,-0.22595,-1.12468
25,11719,3,-0.45776,-0.29846,0.30414,0.78027,1.59766,-4.99219,4.29688,-1.00000,-0.96484,4.60938,0.86545,-0.18844,-1.14837
