lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,992188,3,0.03485,-0.17603,-0.26715,0.94678,-0.57422,1.07422,2.80859,1.04297,0.75000,-1.12891,-0.57746,-0.32015,0.16943
1,9765,3,0.04089,-0.17371,-0.27142,0.94580,-0.42188,0.73828,3.18359,1.43945,0.74023,-1.31055,-0.58747,-0.31137,0.18130
2,10743,3,0.04846,-0.17169,-0.27576,0.94452,-0.56641,0.35938,3.79688,1.79688,0.64648,-1.50195,-0.59811,-0.30219,0.19634
3,9765,3,0.05865,-0.17029,-0.28101,0.94263,-1.07812,-0.29688,3.71875,1.91211,0.59180,-1.53711,-0.61152,-0.29223,0.21713
4,10742,3,0.06970,-0.16949,-0.28656,0.94037,-1.91016,-0.62891,3.01562,1.84961,0.50586,-1.40234,-0.62588,-0.28257,0.23995
5,11719,3,0.08057,-0.16907,-0.29169,0.93799,-2.70312,-0.68750,2.43359,1.82422,0.40625,-1.12305,-0.63931,-0.27357,0.26242
6,7813,3,0.09039,-0.16913,-0.29572,0.93585,-4.28125,-0.73047,2.32031,2.05273,0.30664,-0.76562,-0.65023,-0.26622,0.28279
7,9765,3,0.10089,-0.16992,-0.29834,0.93378,-4.51953,-1.27734,3.00781,2.39062,0.21680,-0.42773,-0.65863,-0.26006,0.30458
8,9766,3,0.11255,-0.17175,-0.29919,0.93182,-4.67188,-2.07812,2.94922,2.50391,0.13867,-0.01953,-0.66400,-0.25552,0.32892
9,9766,3,0.12451,-0.17450,-0.29803,0.93018,-5.75781,-2.00000,0.84375,2.42383,-0.11523,0.33008,-0.66566,-0.25311,0.35404
10,10742,3,0.13574,-0.17816,-0.29523,0.92883,-5.98828,-1.60547,-0.26562,2.32812,-0.57031,0.61719,-0.66425,-0.25351,0.37808
11,9765,3,0.14600,-0.18365,-0.29108,0.92749,-6.10156,-1.64844,-1.01562,2.18750,-0.87109,0.98438,-0.66108,-0.25855,0.40141
12,9766,3,0.15460,-0.19080,-0.28589,0.92627,-6.46484,-2.05859,-1.10547,1.92773,-1.03711,1.44531,-0.65662,-0.26826,0.42263
13,11719,3,0.16132,-0.19879,-0.27930,0.92548,-6.16016,-2.65625,-2.45703,1.53125,-1.07617,1.95117,-0.64962,-0.28153,0.44051
14,8789,3,0.16620,-0.20752,-0.27051,0.92529,-6.32422,-2.40625,-3.08594,1.05469,-1.10547,2.48438,-0.63841,-0.29852,0.45477
15,9765,3,0.16840,-0.21637,-0.25958,0.92596,-6.35156,-2.22266,-4.14844,0.74609,-1.24023,2.93555,-0.62237,-0.31865,0.46306
16,9766,3,0.16809,-0.22540,-0.24677,0.92737,-5.67969,-2.09375,-4.56641,0.69922,-1.45117,3.13672,-0.60191,-0.34173,0.46563
17,9766,3,0.16638,-0.23499,-0.23309,0.92883,-3.37891,-2.89453,-3.83984,0.64453,-1.58008,3.29688,-0.57965,-0.36717,0.46513
18,10742,3,0.16388,-0.24548,-0.21857,0.93011,-2.91016,-3.37109,-3.67578,0.52734,-1.63477,3.46289,-0.55592,-0.39523,0.46295
19,9766,3,0.16071,-0.25629,-0.20343,0.93121,-2.63281,-3.73438,-3.63672,0.44141,-1.69141,3.49023,-0.53072,-0.42455,0.45880
20,9765,3,0.15680,-0.26721,-0.18805,0.93201,-0.10156,-3.48047,-3.43750,0.51758,-1.90039,3.30469,-0.50457,-0.45462,0.45247
21,12695,3,0.15271,-0.27875,-0.17285,0.93225,0.90625,-3.56250,-3.06641,0.58594,-1.99414,3.13477,-0.47882,-0.48582,0.44556
22,7813,3,0.14923,-0.29034,-0.15894,0.93176,1.21484,-3.68359,-2.83984,0.46680,-1.83203,3.11523,-0.45582,-0.51625,0.43994
23,9766,3,0.14557,-0.30194,-0.14508,0.93091,1.26172,-3.67969,-2.80078,0.24609,-1.59180,3.13086,-0.43248,-0.54676,0.43327
24,9765,3,0.14093,-0.31317,-0.13025,0.93011,2.00000,-2.88281,-3.69531,-0.01562,-1.35938,3.12695,-0.40554,-0.57740,0.42272
25,10742,3,0.13574,-0.32202,-0.11694,0.92963,2.57422,-2.57422,-3.83203,-0.18164,-1.17773,3.05273,-0.37910,-0.60282,0.40913
26,9766,3,0.12952,-0.32990,-0.10358,0.92932,2.95312,-2.46875,-3.61719,-0.35156,-0.96484,2.95703,-0.35027,-0.62654,0.39146
27,9766,3,0.12274,-0.33667,-0.09070,0.92920,3.10156,-2.34375,-3.52344,-0.57812,-0.82227,2.76562,-0.32044,-0.64772,0.37106
28,9765,3,0.11536,-0.34229,-0.07880,0.92914,3.95703,-1.98828,-4.05078,-0.77539,-0.72070,2.54688,-0.29076,-0.66607,0.34825
29,10742,3,0.10736,-0.34711,-0.06812,0.92920,4.36719,-1.85156,-3.82812,-0.99609,-0.61523,2.30273,-0.26205,-0.68207,0.32353
30,9766,3,0.09882,-0.35114,-0.05878,0.92926,4.42188,-1.71094,-3.88281,-1.22461,-0.47461,2.10156,-0.23487,-0.69574,0.29739
31,11719,3,0.08978,-0.35437,-0.05090,0.92938,4.75391,-1.53906,-3.83594,-1.33398,-0.40820,1.83008,-0.20968,-0.70701,0.27023
32,8789,3,0.08032,-0.35687,-0.04437,0.92963,4.84766,-1.32031,-3.47656,-1.40039,-0.36523,1.50977,-0.18643,-0.71604,0.24230
33,9766,3,0.07056,-0.35913,-0.03906,0.92981,5.09766,-1.22266,-3.43750,-1.59766,-0.21875,1.25195,-0.16534,-0.72391,0.21420
34,9765,3,0.06097,-0.36066,-0.03540,0.93005,5.05859,-1.17188,-3.58984,-1.85742,-0.01367,1.06055,-0.14786,-0.72952,0.18748
35,9766,3,0.05078,-0.36121,-0.03320,0.93048,4.99609,-0.89453,-3.51953,-1.93359,0.11719,0.77930,-0.13286,-0.73267,0.16008
36,10742,3,0.04028,-0.36090,-0.03235,0.93115,5.29688,-0.53516,-3.08594,-2.00000,0.19531,0.44141,-0.12054,-0.73357,0.13283
37,9766,3,0.04028,-0.36090,-0.03235,0.93115,5.06641,-0.47266,-3.10938,-2.13086,0.22070,0.12695,-0.12054,-0.73357,0.13283
38,9765,3,0.01990,-0.35858,-0.03546,0.93262,4.50781,-0.41406,-3.01562,-2.31836,0.20898,-0.13672,-0.10819,-0.73074,0.08409
39,9766,3,0.00958,-0.35718,-0.03949,0.93317,3.86328,-0.36719,-2.80078,-2.59570,0.19531,-0.32031,-0.10816,-0.72862,0.06182
40,10742,3,-0.00134,-0.35571,-0.04486,0.93353,3.45703,-0.12500,-3.01562,-2.95312,0.16797,-0.48242,-0.11099,-0.72648,0.03935
41,11719,3,-0.01367,-0.35419,-0.05182,0.93365,3.13672,0.01562,-3.10156,-3.19336,0.27344,-0.64258,-0.11655,-0.72452,0.01493
42,7812,3,-0.02631,-0.35242,-0.05951,0.93359,2.49219,-0.44922,-1.31641,-3.36523,0.41016,-0.71875,-0.12370,-0.72234,-0.00956
43,9766,3,-0.04083,-0.34979,-0.06879,0.93341,1.75000,-0.71094,-0.98047,-3.53320,0.63281,-0.68555,-0.13308,-0.71897,-0.03736
44,10742,3,-0.05566,-0.34625,-0.07831,0.93323,0.97656,-0.83594,-0.53516,-3.59180,0.82422,-0.62891,-0.14289,-0.71413,-0.06577
45,9766,3,-0.07086,-0.34155,-0.08771,0.93304,0.64844,-0.72656,-0.09766,-3.68555,0.97070,-0.52539,-0.15224,-0.70737,-0.09530
46,9765,3,-0.08636,-0.33594,-0.09686,0.93292,-0.67578,-1.37109,0.10547,-3.88672,1.10352,-0.33594,-0.16100,-0.69908,-0.12583
47,10743,3,-0.10297,-0.32928,-0.10577,0.93262,-1.25000,-1.30469,0.01562,-4.15430,1.10547,-0.18945,-0.16859,-0.68928,-0.15928
48,9765,3,-0.12073,-0.32208,-0.11420,0.93201,-1.71484,-1.44531,0.03906,-4.42188,1.04688,-0.06836,-0.17447,-0.67891,-0.19589
49,11719,3,-0.13971,-0.31470,-0.12219,0.93091,-2.59375,-1.93750,0.85547,-4.58789,0.97852,0.04297,-0.17882,-0.66875,-0.23566
50,7812,3,-0.15936,-0.30737,-0.12970,0.92914,-2.75391,-1.84766,1.37891,-4.58789,0.95117,0.14062,-0.18198,-0.65925,-0.27732
51,9766,3,-0.18005,-0.29980,-0.13702,0.92676,-2.64453,-2.30859,2.12109,-4.42969,0.95508,0.24805,-0.18445,-0.64984,-0.32150
52,9766,3,-0.20148,-0.29169,-0.14392,0.92389,-2.60547,-2.44922,3.15234,-4.09180,0.93359,0.31836,-0.18606,-0.63975,-0.36764
53,10742,3,-0.22003,-0.28424,-0.14941,0.92114,-2.75781,-2.21094,3.98828,-3.70508,0.91211,0.40039,-0.18698,-0.63030,-0.40783
54,9765,3,-0.23853,-0.27637,-0.15442,0.91809,-2.87891,-2.01562,3.99609,-3.35352,0.89258,0.53906,-0.18750,-0.62011,-0.44814
55,9766,3,-0.25458,-0.26892,-0.15814,0.91534,-3.13672,-1.76953,3.95312,-2.93359,0.91406,0.70898,-0.18725,-0.60996,-0.48343
56,10742,3,-0.26910,-0.26147,-0.16052,0.91296,-3.58594,-1.39844,4.09766,-2.33398,0.88477,0.81641,-0.18554,-0.59898,-0.51584
57,11719,3,-0.28137,-0.25421,-0.16162,0.91107,-3.22656,-0.87500,4.16797,-1.64453,0.27930,0.80664,-0.18296,-0.58738,-0.54361
58,7813,3,-0.29047,-0.24908,-0.16119,0.90973,-3.45312,-0.69531,4.37109,-1.13281,-0.02344,0.90820,-0.17841,-0.57858,-0.56488
59,9765,3,-0.29779,-0.24615,-0.15906,0.90851,-3.78906,-0.82031,4.27734,-0.91992,-0.10938,1.13477,-0.17029,-0.57284,-0.58322
60,10742,3,-0.30402,-0.24408,-0.15533,0.90771,-3.97266,-0.99609,3.78906,-0.81445,-0.09961,1.38281,-0.15908,-0.56749,-0.59988
61,9766,3,-0.30945,-0.24200,-0.15045,0.90723,-3.31250,-0.56250,3.72266,-0.59375,-0.18555,1.51562,-0.14605,-0.56121,-0.61527
62,10742,3,-0.31458,-0.23987,-0.14435,0.90704,-2.62891,-0.17969,3.87500,-0.18555,-0.32227,1.51562,-0.13081,-0.55381,-0.63044
63,8789,3,-0.31824,-0.23840,-0.13751,0.90717,-1.73047,-0.03906,4.32812,0.28320,-0.43945,1.42773,-0.11471,-0.54695,-0.64257
64,10742,3,-0.31995,-0.23785,-0.13037,0.90778,-0.75781,-0.19141,4.69531,0.76367,-0.59570,1.32812,-0.09875,-0.54131,-0.65029
65,9766,3,-0.31952,-0.23840,-0.12225,0.90894,-0.48047,-0.38672,4.72656,1.14648,-0.56055,1.29688,-0.08142,-0.53692,-0.65366
66,10742,3,-0.31702,-0.23956,-0.11407,0.91052,-0.60938,-0.68750,5.04688,1.48828,-0.39062,1.27148,-0.06491,-0.53356,-0.65234
67,8789,3,-0.31281,-0.24048,-0.10577,0.91278,-0.38672,-0.63281,5.00000,1.85742,-0.25586,1.18555,-0.04944,-0.52957,-0.64690
68,10742,3,-0.30670,-0.24091,-0.09747,0.91565,0.30859,-0.50391,4.77734,2.27734,-0.16992,1.04688,-0.03551,-0.52470,-0.63688
69,11719,3,-0.29865,-0.24121,-0.08942,0.91907,0.84766,-0.62891,4.68359,2.65039,-0.16016,0.91992,-0.02338,-0.51986,-0.62214
70,7813,3,-0.28900,-0.24158,-0.08197,0.92273,1.26172,-0.78516,4.29688,2.90625,-0.03711,0.77930,-0.01338,-0.51575,-0.60352
71,9765,3,-0.27704,-0.24200,-0.07434,0.92688,1.57422,-0.82422,3.85938,3.09766,0.32812,0.68164,-0.00427,-0.51190,-0.57977
72,10743,3,-0.26349,-0.24139,-0.06720,0.93158,2.03516,-1.08203,4.01562,3.36133,0.53906,0.55664,0.00229,-0.50653,-0.55188
73,9765,3,-0.24878,-0.23962,-0.06079,0.93646,2.71094,-1.17969,3.35547,3.46094,0.46680,0.39453,0.00612,-0.49958,-0.52088
74,10742,3,-0.23328,-0.23767,-0.05499,0.94128,2.95703,-1.37500,2.22656,3.22852,0.46289,0.26953,0.00835,-0.49282,-0.48797
75,8789,3,-0.21716,-0.23596,-0.04968,0.94586,2.94531,-1.01172,0.68359,2.91992,0.15625,-0.20508,0.00962,-0.48699,-0.45375
76,10743,3,-0.20300,-0.23523,-0.04620,0.94934,3.12109,0.17969,-1.58594,2.62500,-0.39648,-0.35742,0.00879,-0.48411,-0.42350
