lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,2134766,3,0.10205,-0.21027,-0.00970,0.97223,-1.94922,-0.28125,-1.87500,-0.20898,-0.40625,0.61914,-0.06769,-0.41905,0.22357
1,9766,3,0.10065,-0.21246,-0.00757,0.97192,-2.14062,-0.24219,-1.93359,-0.24805,-0.47852,0.81445,-0.06311,-0.42409,0.21996
2,9765,3,0.09869,-0.21497,-0.00458,0.97162,-2.61719,-0.69141,-2.63672,-0.37305,-0.62305,1.07227,-0.05650,-0.42994,0.21480
3,9766,3,0.09619,-0.21808,-0.00061,0.97119,-3.14062,-0.78125,-3.12109,-0.60742,-0.75977,1.38477,-0.04764,-0.43727,0.20803
4,9766,3,0.09247,-0.22205,0.00446,0.97064,-3.45703,-0.76562,-3.40234,-0.87695,-0.88867,1.71094,-0.03595,-0.44656,0.19812
5,9765,3,0.08716,-0.22681,0.01074,0.96997,-3.69531,-0.63281,-3.67969,-1.17969,-1.12305,2.02344,-0.02084,-0.45768,0.18409
6,10742,3,0.08032,-0.23236,0.01801,0.96912,-3.61328,-0.38281,-5.03516,-1.59766,-1.44727,2.40430,-0.00273,-0.47044,0.16604
7,9766,3,0.07080,-0.23981,0.02679,0.96790,-4.25781,-0.38672,-5.26562,-2.13477,-1.58203,2.90234,0.02027,-0.48701,0.14100
8,10742,3,0.05859,-0.24841,0.03699,0.96619,-4.87500,-0.40625,-4.97266,-2.65430,-1.79688,3.42383,0.04844,-0.50562,0.10862
9,9766,3,0.04352,-0.25781,0.04871,0.96399,-4.80859,-0.04688,-5.55859,-3.26953,-2.39258,3.94141,0.08269,-0.52509,0.06799
10,9765,3,0.02484,-0.26941,0.06226,0.96069,-5.03516,-0.03125,-7.63281,-4.00781,-2.60938,4.47266,0.12476,-0.54770,0.01662
11,10743,3,0.00244,-0.28296,0.07721,0.95599,-5.75781,-0.31250,-6.39062,-4.51367,-2.53906,4.99414,0.17484,-0.57212,-0.04644
12,9765,3,-0.02350,-0.29675,0.09363,0.95007,-5.58594,-0.85938,-6.13281,-4.85547,-2.66797,5.36523,0.23358,-0.59374,-0.12121
13,9766,3,-0.05133,-0.31006,0.11096,0.94281,-4.92188,-1.63672,-6.31250,-5.19531,-2.75586,5.49414,0.29863,-0.61050,-0.20351
14,9765,3,-0.08313,-0.32452,0.13007,0.93317,-3.21484,-3.93359,-5.32031,-5.48242,-2.73438,5.42188,0.37423,-0.62374,-0.29962
15,10743,3,-0.11505,-0.33832,0.14789,0.92218,-1.84375,-4.38281,-4.74219,-5.57617,-2.62109,5.22461,0.44919,-0.63101,-0.39710
16,9765,3,-0.14728,-0.35132,0.16443,0.90985,-0.28125,-4.51953,-3.66016,-5.47070,-2.42578,4.93164,0.52262,-0.63214,-0.49543
17,9766,3,-0.17816,-0.36298,0.17908,0.89691,4.24609,-5.02734,-1.43359,-5.35547,-2.00586,4.47461,0.59039,-0.62772,-0.58894
18,9766,3,-0.20953,-0.37354,0.19250,0.88287,6.20312,-4.82422,-0.03125,-5.16016,-1.28711,3.92188,0.65465,-0.61740,-0.68176
19,10742,3,-0.23950,-0.38141,0.20312,0.86945,7.94531,-4.96094,1.50391,-4.72266,-0.51172,3.24023,0.70757,-0.60154,-0.76572
20,9765,3,-0.26672,-0.38586,0.21033,0.85773,9.37109,-5.01953,3.07031,-3.94141,-0.08398,2.52344,0.74555,-0.58207,-0.83618
21,9766,3,-0.28931,-0.38770,0.21454,0.84851,10.44531,-5.41797,4.57031,-3.05859,0.08984,1.80664,0.76957,-0.56308,-0.89038
22,9766,3,-0.28931,-0.38770,0.21454,0.84851,10.28906,-5.46875,4.81250,-2.21289,0.20117,1.13086,0.76957,-0.56308,-0.89038
23,9765,3,-0.32318,-0.38824,0.21802,0.83502,10.32031,-5.30078,4.64844,-1.55469,0.24805,0.41992,0.79492,-0.53226,-0.96644
24,10742,3,-0.33270,-0.38818,0.21735,0.83148,10.42188,-4.91016,3.23438,-1.08594,0.21289,-0.33789,0.79815,-0.52466,-0.98675
25,9766,3,-0.33844,-0.38861,0.21478,0.82965,9.94141,-4.27344,2.58984,-0.67578,0.14648,-1.12891,0.79660,-0.52295,-0.99891
26,9766,3,-0.34076,-0.39014,0.20984,0.82922,9.54688,-3.46875,2.57812,-0.27734,0.20312,-1.93359,0.79064,-0.52826,-1.00456
27,9765,3,-0.33984,-0.39258,0.20245,0.83026,9.64062,-2.75000,2.63672,0.03516,0.11328,-2.75781,0.77986,-0.54021,-1.00363
28,10742,3,-0.33594,-0.39600,0.19275,0.83258,9.16797,-1.87109,1.25781,0.09961,-0.01367,-3.53906,0.76450,-0.55847,-0.99655
