lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1092774,3,0.10590,-0.33447,-0.03119,0.93591,-1.94531,-0.66797,-1.88672,-1.12500,-0.19727,1.29492,-0.16536,-0.66807,0.28284
1,9765,3,0.09894,-0.33600,-0.02777,0.93622,-2.79297,-1.01562,-2.16016,-1.31055,-0.19727,1.65234,-0.15217,-0.67342,0.26393
2,9766,3,0.09076,-0.33746,-0.02319,0.93665,-3.25391,-1.14453,-2.12109,-1.38672,-0.13086,2.03125,-0.13496,-0.67896,0.24092
3,10742,3,0.08130,-0.33887,-0.01715,0.93713,-3.44922,-0.93359,-1.60156,-1.28711,-0.24219,2.34961,-0.11287,-0.68461,0.21333
4,9766,3,0.07123,-0.34052,-0.00934,0.93750,-3.03516,-0.80469,-2.33594,-1.29688,-0.48242,2.65625,-0.08576,-0.69076,0.18253
5,9765,3,0.06079,-0.34302,-0.00012,0.93738,-3.32031,-0.92969,-2.51953,-1.51953,-0.55469,2.97656,-0.05478,-0.69846,0.14948
6,9766,3,0.04919,-0.34631,0.01044,0.93677,-3.38281,-0.98438,-2.69141,-1.79688,-0.63477,3.28516,-0.01910,-0.70740,0.11199
7,9766,3,0.03607,-0.34991,0.02191,0.93585,-3.17578,-1.01172,-2.85156,-2.08008,-0.86328,3.55859,0.02090,-0.71616,0.06923
8,12695,3,0.02155,-0.35400,0.03375,0.93439,-3.23828,-1.57812,-3.33984,-2.33008,-0.91016,3.83203,0.06392,-0.72483,0.02186
9,7812,3,0.00464,-0.35889,0.04694,0.93219,-2.99609,-1.82422,-2.35547,-2.39648,-0.97656,4.04297,0.11357,-0.73358,-0.03372
10,9766,3,-0.01416,-0.36407,0.06158,0.92926,-2.03906,-1.82031,-2.47266,-2.53125,-1.21094,4.17969,0.16988,-0.74076,-0.09657
11,10742,3,-0.03271,-0.36945,0.07599,0.92554,-1.38672,-1.80469,-2.98047,-2.80664,-1.12500,4.28125,0.22645,-0.74631,-0.15964
12,12696,3,-0.05243,-0.37500,0.09052,0.92108,-0.30078,-2.33203,-2.25391,-3.11719,-0.87109,4.27734,0.28540,-0.74960,-0.22664
13,6835,3,-0.07263,-0.37946,0.10400,0.91644,0.75000,-2.09375,-1.86719,-3.42188,-0.56836,4.08203,0.34199,-0.74835,-0.29359
14,9766,3,-0.09558,-0.38281,0.11719,0.91138,2.07812,-1.85547,-1.42578,-3.61719,-0.25586,3.78906,0.39939,-0.74145,-0.36600
15,10742,3,-0.11981,-0.38477,0.12866,0.90613,4.76953,-2.33594,-0.30469,-3.75195,0.11914,3.38672,0.45160,-0.72944,-0.43789
16,9766,3,-0.14343,-0.38513,0.13763,0.90118,5.71875,-2.21094,0.41016,-3.69922,0.39844,2.83789,0.49422,-0.71376,-0.50323
17,9766,3,-0.16669,-0.38416,0.14410,0.89661,6.78125,-1.95703,1.03125,-3.41211,0.56445,2.25195,0.52754,-0.69556,-0.56280
18,12695,3,-0.18774,-0.38232,0.14801,0.89258,7.22656,-2.07812,2.00000,-2.89062,0.67969,1.71875,0.55083,-0.67759,-0.61314
19,7812,3,-0.20557,-0.37994,0.14996,0.88934,7.92578,-2.57812,3.17188,-2.25977,0.64453,1.16211,0.56556,-0.66128,-0.65312
20,9766,3,-0.22119,-0.37726,0.15070,0.88660,8.57812,-2.28516,3.31250,-1.58984,0.49414,0.54883,0.57495,-0.64635,-0.68639
21,9766,3,-0.23163,-0.37518,0.15009,0.88489,9.11719,-2.04297,3.33594,-0.98828,0.31641,-0.12305,0.57817,-0.63662,-0.70741
22,9765,3,-0.23810,-0.37408,0.14807,0.88397,9.37891,-2.03516,3.26172,-0.52539,0.21484,-0.73633,0.57676,-0.63214,-0.71963
23,10742,3,-0.24084,-0.37396,0.14441,0.88391,8.32812,-2.27734,3.17969,-0.19531,0.22852,-1.25586,0.57048,-0.63296,-0.72351
24,9766,3,-0.24072,-0.37445,0.13898,0.88458,7.75391,-2.30859,2.91797,0.06641,0.37305,-1.69141,0.55922,-0.63799,-0.72049
25,9766,3,-0.23846,-0.37494,0.13196,0.88611,7.34766,-2.28125,2.78906,0.30273,0.53906,-2.08008,0.54282,-0.64539,-0.71134
26,9765,3,-0.23444,-0.37500,0.12347,0.88837,6.77734,-1.94531,2.21094,0.45312,0.61328,-2.43164,0.52123,-0.65400,-0.69644
27,10742,3,-0.22882,-0.37488,0.11340,0.89124,6.23438,-1.91016,1.82031,0.49219,0.70898,-2.73047,0.49439,-0.66401,-0.67620
28,9766,3,-0.22223,-0.37457,0.10217,0.89435,5.41797,-2.01172,1.83594,0.49805,0.90039,-2.98242,0.46363,-0.67461,-0.65230
29,9766,3,-0.21503,-0.37390,0.08948,0.89777,4.48047,-2.10938,1.91016,0.61523,1.06641,-3.20898,0.42812,-0.68523,-0.62494
30,12695,3,-0.20740,-0.37256,0.07611,0.90131,3.57031,-1.82422,2.36719,0.84180,1.15820,-3.42578,0.38948,-0.69454,-0.59488
31,7813,3,-0.19818,-0.37067,0.06134,0.90527,3.19141,-1.89453,2.21875,1.02344,1.16016,-3.62695,0.34510,-0.70342,-0.55877
32,9765,3,-0.18726,-0.36853,0.04535,0.90942,2.65625,-2.03906,1.80469,1.06641,1.12305,-3.77539,0.29554,-0.71197,-0.51672
33,9766,3,-0.17584,-0.36652,0.02954,0.91315,2.02344,-2.30469,1.31250,1.04297,1.10938,-3.85547,0.24557,-0.71949,-0.47324
34,9765,3,-0.16412,-0.36456,0.01312,0.91650,0.69922,-2.35938,1.20312,1.03516,1.10156,-3.90430,0.19340,-0.72608,-0.42806
35,10743,3,-0.15228,-0.36255,-0.00354,0.91943,-0.19141,-2.56250,1.32422,1.08594,1.08984,-3.90234,0.14005,-0.73119,-0.38196
