lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1082031,3,0.04205,-0.19727,0.19702,0.95941,-0.53516,-0.55078,-2.97266,-1.17383,0.29297,-0.01953,0.40442,-0.40618,0.00322
1,9766,3,0.03619,-0.19702,0.19574,0.95996,-0.62891,-0.75391,-2.90234,-1.22852,0.33789,-0.00391,0.40399,-0.40329,-0.00831
2,9765,3,0.03033,-0.19672,0.19452,0.96051,-0.55859,-0.84375,-2.88281,-1.28711,0.38672,0.01367,0.40365,-0.40029,-0.01982
3,10742,3,0.02362,-0.19617,0.19318,0.96106,-0.59766,-0.75781,-3.03516,-1.36523,0.42969,0.03320,0.40334,-0.39649,-0.03295
4,9766,3,0.01685,-0.19550,0.19202,0.96161,-0.63281,-0.71484,-3.23438,-1.45117,0.46680,0.05469,0.40337,-0.39242,-0.04620
5,9766,3,0.00952,-0.19470,0.19073,0.96210,-0.67188,-0.66016,-3.31250,-1.55273,0.49414,0.07227,0.40331,-0.38793,-0.06048
6,10742,3,0.00183,-0.19385,0.18958,0.96252,-0.82422,-0.51953,-3.73828,-1.69922,0.50391,0.07617,0.40359,-0.38318,-0.07552
7,9765,3,-0.00665,-0.19293,0.18823,0.96295,-0.85547,-0.41016,-3.92969,-1.87891,0.45703,0.07031,0.40370,-0.37801,-0.09207
8,9766,3,-0.01581,-0.19232,0.18677,0.96326,-0.96094,-0.39844,-4.08594,-2.04297,0.40820,0.09961,0.40383,-0.37322,-0.11008
9,9766,3,-0.02551,-0.19208,0.18524,0.96344,-1.37891,-1.07031,-3.41016,-2.14062,0.37695,0.13672,0.40408,-0.36894,-0.12935
10,10742,3,-0.03638,-0.19208,0.18359,0.96338,-1.22656,-1.21875,-2.98047,-2.16797,0.37109,0.12891,0.40455,-0.36476,-0.15109
11,9765,3,-0.04724,-0.19220,0.18201,0.96320,-0.89062,-1.32422,-2.75781,-2.20117,0.40039,0.11914,0.40513,-0.36082,-0.17290
12,9766,3,-0.05829,-0.19232,0.18030,0.96289,-0.73438,-1.38672,-2.73438,-2.24805,0.46680,0.14648,0.40549,-0.35686,-0.19504
13,12695,3,-0.06970,-0.19220,0.17859,0.96246,-0.61328,-1.87500,-2.27344,-2.25781,0.55469,0.17188,0.40585,-0.35231,-0.21781
14,7813,3,-0.08038,-0.19171,0.17700,0.96204,-0.53516,-1.82422,-2.05078,-2.25781,0.66602,0.20312,0.40601,-0.34733,-0.23892
15,9766,3,-0.09216,-0.19067,0.17535,0.96149,-0.47266,-1.69922,-1.93750,-2.27734,0.76758,0.23047,0.40613,-0.34088,-0.26197
16,9765,3,-0.10425,-0.18903,0.17383,0.96082,-0.44141,-1.55469,-1.97266,-2.31641,0.81250,0.25586,0.40626,-0.33313,-0.28538
17,9766,3,-0.11621,-0.18707,0.17230,0.96008,-0.89844,-1.58203,-1.88672,-2.37695,0.79297,0.26758,0.40608,-0.32486,-0.30836
18,10742,3,-0.12848,-0.18512,0.17078,0.95923,-1.01172,-1.51562,-1.76562,-2.44336,0.73242,0.26172,0.40583,-0.31650,-0.33194
19,9766,3,-0.14093,-0.18329,0.16925,0.95807,-0.86328,-1.61328,-1.39453,-2.45898,0.67383,0.23633,0.40561,-0.30837,-0.35600
20,9765,3,-0.15320,-0.18188,0.16766,0.95673,-0.52734,-2.08203,-0.45312,-2.45508,0.68359,0.21875,0.40531,-0.30119,-0.37990
21,12696,3,-0.15320,-0.18188,0.16766,0.95673,-0.18750,-2.24609,0.11719,-2.42578,0.74023,0.20898,0.40531,-0.30119,-0.37990
22,7812,3,-0.17810,-0.17896,0.16412,0.95361,0.15234,-2.38281,0.69141,-2.33594,0.82617,0.18945,0.40365,-0.28674,-0.42833
23,9766,3,-0.19019,-0.17694,0.16217,0.95197,0.45312,-2.44531,1.27734,-2.26172,0.93164,0.18164,0.40189,-0.27879,-0.45152
24,9765,3,-0.20264,-0.17432,0.16003,0.95026,0.50000,-2.43359,1.66016,-2.21875,1.00391,0.14844,0.39936,-0.26968,-0.47509
25,10742,3,-0.20264,-0.17432,0.16003,0.95026,0.35547,-2.31641,1.82422,-2.16992,1.02344,0.09961,0.39936,-0.26968,-0.47509
26,9766,3,-0.22552,-0.16815,0.15540,0.94696,0.17969,-2.32031,2.19922,-2.09375,1.01172,0.06445,0.39209,-0.25100,-0.51770
27,9766,3,-0.23651,-0.16486,0.15277,0.94531,-0.08594,-2.37891,2.78516,-2.00195,0.96875,0.02734,0.38739,-0.24175,-0.53797
28,9765,3,-0.24689,-0.16168,0.15009,0.94360,-0.22266,-2.25391,2.98438,-1.93945,0.91211,0.00000,0.38242,-0.23312,-0.55714
29,10743,3,-0.25702,-0.15869,0.14734,0.94183,-0.45703,-2.28906,3.25391,-1.85547,0.85156,0.00000,0.37729,-0.22508,-0.57596
30,8789,3,-0.26660,-0.15594,0.14465,0.94006,-0.61719,-2.33203,3.72266,-1.70312,0.77344,0.00000,0.37223,-0.21778,-0.59385
