lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,10708984,3,-0.07477,-0.04651,0.23218,0.96869,-0.14453,0.04297,-3.86719,-0.38086,-0.06055,0.06055,0.47514,-0.05541,-0.16749
1,10742,3,-0.07617,-0.04718,0.23230,0.96851,-0.19141,-0.00391,-3.97656,-0.52734,-0.07617,0.09375,0.47560,-0.05603,-0.17056
2,9766,3,-0.07831,-0.04803,0.23254,0.96826,-0.12109,-0.07031,-4.19531,-0.69141,-0.09766,0.14844,0.47638,-0.05663,-0.17515
3,9766,3,-0.08118,-0.04913,0.23297,0.96783,-0.16797,-0.20703,-4.33594,-0.84766,-0.10742,0.20312,0.47765,-0.05731,-0.18132
4,9765,3,-0.08478,-0.05048,0.23358,0.96729,-0.10156,-0.35938,-4.24219,-0.98438,-0.09766,0.26758,0.47940,-0.05808,-0.18904
5,10742,3,-0.08917,-0.05200,0.23450,0.96661,-0.18359,-0.54297,-4.06641,-1.11328,-0.07227,0.34375,0.48185,-0.05874,-0.19842
6,12696,3,-0.09418,-0.05347,0.23566,0.96576,-0.18359,-0.54688,-4.00391,-1.26562,-0.02734,0.37891,0.48485,-0.05892,-0.20899
7,6836,3,-0.09979,-0.05493,0.23700,0.96478,-0.07031,-0.59375,-3.85938,-1.42188,0.04102,0.39258,0.48827,-0.05873,-0.22077
8,9765,3,-0.10626,-0.05627,0.23840,0.96368,-0.10156,-0.53516,-3.86328,-1.55859,0.10938,0.41211,0.49184,-0.05783,-0.23416
9,10742,3,-0.11407,-0.05762,0.23993,0.96234,-0.35156,-0.57031,-3.67188,-1.65234,0.18555,0.44922,0.49574,-0.05618,-0.25020
10,9766,3,-0.12201,-0.05859,0.24139,0.96094,-0.48047,-0.57422,-3.36328,-1.71875,0.25781,0.48828,0.49943,-0.05373,-0.26629
11,9766,3,-0.13049,-0.05927,0.24298,0.95941,-0.83203,-0.75000,-2.85156,-1.76758,0.35352,0.53320,0.50327,-0.05032,-0.28331
12,10742,3,-0.13049,-0.05927,0.24298,0.95941,-0.90234,-0.66016,-2.57422,-1.80273,0.45703,0.59766,0.50327,-0.05032,-0.28331
13,9765,3,-0.14856,-0.05951,0.24652,0.95581,-0.96094,-0.64062,-2.32812,-1.86133,0.62695,0.65625,0.51135,-0.04053,-0.31898
14,9766,3,-0.15826,-0.05872,0.24860,0.95380,-0.92969,-0.77734,-1.76562,-1.93359,0.81055,0.73438,0.51561,-0.03332,-0.33765
15,9766,3,-0.16833,-0.05713,0.25073,0.95160,-0.84375,-0.71094,-1.43750,-2.00586,0.97656,0.79883,0.51964,-0.02432,-0.35664
16,10742,3,-0.17908,-0.05469,0.25305,0.94916,-0.65625,-0.64844,-1.02344,-2.06445,1.04297,0.82617,0.52360,-0.01318,-0.37649
17,9766,3,-0.19031,-0.05176,0.25543,0.94653,-0.45703,-0.56641,-0.63672,-2.10352,1.03516,0.79102,0.52732,-0.00076,-0.39703
18,11718,3,-0.20123,-0.04889,0.25757,0.94379,0.04297,-0.92578,0.48438,-2.11914,0.95312,0.67969,0.53044,0.01138,-0.41705
19,7813,3,-0.21246,-0.04620,0.25952,0.94092,0.39062,-1.08984,1.29688,-2.11719,0.83398,0.53516,0.53306,0.02333,-0.43779
20,10742,3,-0.22437,-0.04401,0.26099,0.93787,0.91406,-1.23047,2.12500,-2.06250,0.70312,0.34180,0.53472,0.03458,-0.46016
21,9766,3,-0.23511,-0.04272,0.26172,0.93512,1.39062,-1.32031,3.10156,-1.87891,0.53516,0.10547,0.53521,0.04317,-0.48079
22,9765,3,-0.24518,-0.04218,0.26160,0.93256,2.56250,-1.73047,5.19531,-1.60742,0.37695,-0.12500,0.53428,0.04964,-0.50060
23,10742,3,-0.25397,-0.04236,0.26062,0.93048,2.86328,-2.03125,6.27734,-1.30469,0.26758,-0.29883,0.53198,0.05358,-0.51830
24,9766,3,-0.26105,-0.04303,0.25891,0.92896,3.03906,-2.32812,7.19922,-0.95508,0.15820,-0.44922,0.52854,0.05526,-0.53294
25,9766,3,-0.26654,-0.04407,0.25665,0.92798,3.46094,-2.61719,8.44141,-0.60352,0.04492,-0.59570,0.52428,0.05506,-0.54462
26,9765,3,-0.27014,-0.04529,0.25397,0.92761,3.55469,-2.73828,8.90625,-0.29297,-0.04297,-0.71875,0.51938,0.05322,-0.55263
27,10742,3,-0.27203,-0.04681,0.25079,0.92786,3.51562,-2.81641,9.08594,-0.04102,-0.10547,-0.84180,0.51378,0.04960,-0.55736
28,8790,3,-0.27252,-0.04846,0.24725,0.92859,3.46875,-2.83203,9.15234,0.19141,-0.14844,-0.95703,0.50760,0.04478,-0.55931
29,10742,3,-0.27179,-0.05017,0.24347,0.92969,3.44922,-2.87500,8.84766,0.46680,-0.19336,-1.08008,0.50105,0.03907,-0.55884
30,9765,3,-0.26971,-0.05206,0.23889,0.93140,3.21875,-2.93750,8.63281,0.76953,-0.22266,-1.19922,0.49305,0.03189,-0.55572
31,10743,3,-0.26630,-0.05383,0.23407,0.93347,2.94922,-2.93750,8.21875,1.04492,-0.19727,-1.32227,0.48456,0.02416,-0.54982
32,9765,3,-0.26135,-0.05554,0.22864,0.93610,2.62500,-2.94141,7.67188,1.29688,-0.13477,-1.40039,0.47481,0.01553,-0.54077
33,9766,3,-0.25537,-0.05676,0.22290,0.93909,1.55078,-2.69141,6.11719,1.52539,-0.03320,-1.41406,0.46413,0.00723,-0.52932
34,12695,3,-0.24811,-0.05743,0.21680,0.94238,0.89844,-2.66016,5.27344,1.72656,0.09180,-1.36328,0.45241,-0.00067,-0.51503
35,7813,3,-0.24048,-0.05731,0.21100,0.94574,0.36719,-2.48828,4.27344,1.87891,0.24805,-1.28516,0.44078,-0.00692,-0.49955
36,9765,3,-0.23169,-0.05627,0.20508,0.94928,-0.67969,-1.80078,2.15234,1.98242,0.38867,-1.19336,0.42843,-0.01181,-0.48135
37,9766,3,-0.22205,-0.05414,0.19916,0.95294,-1.16406,-1.63672,1.02344,2.02539,0.45312,-1.07227,0.41551,-0.01474,-0.46096
38,9765,3,-0.21252,-0.05145,0.19385,0.95636,-1.56250,-1.47266,-0.21875,1.98242,0.47852,-0.93359,0.40356,-0.01602,-0.44062
39,10743,3,-0.20306,-0.04840,0.18909,0.95953,-1.98438,-1.22266,-1.37891,1.88477,0.50391,-0.78320,0.39257,-0.01609,-0.42030
40,9765,3,-0.19379,-0.04504,0.18494,0.96240,-2.58984,-0.51953,-3.11328,1.75391,0.52344,-0.63477,0.38274,-0.01502,-0.40031
41,9766,3,-0.18555,-0.04175,0.18158,0.96478,-2.72656,-0.26172,-3.79688,1.61719,0.50977,-0.50391,0.37461,-0.01317,-0.38250
42,9766,3,-0.17767,-0.03827,0.17877,0.96698,-2.78125,0.00391,-4.55469,1.43750,0.46680,-0.38672,0.36756,-0.01048,-0.36538
43,10742,3,-0.17059,-0.03497,0.17651,0.96875,-2.82422,0.24609,-5.22266,1.18555,0.40234,-0.27344,0.36179,-0.00754,-0.35000
44,9765,3,-0.16455,-0.03204,0.17487,0.97021,-3.03125,0.66406,-6.53516,0.87305,0.32227,-0.15430,0.35743,-0.00463,-0.33684
45,10743,3,-0.15985,-0.02966,0.17377,0.97125,-3.00781,0.83203,-7.03125,0.55273,0.24023,-0.04102,0.35442,-0.00207,-0.32661
46,11718,3,-0.15656,-0.02777,0.17328,0.97192,-2.94922,0.95312,-7.36328,0.25977,0.16406,0.04688,0.35282,0.00027,-0.31936
47,6836,3,-0.15479,-0.02655,0.17328,0.97229,-2.61719,1.18750,-7.64453,-0.00391,0.08203,0.09961,0.35241,0.00201,-0.31539
48,10742,3,-0.15430,-0.02588,0.17365,0.97229,-2.30469,1.17969,-7.76953,-0.25195,-0.00195,0.13867,0.35294,0.00326,-0.31418
49,9766,3,-0.15497,-0.02570,0.17426,0.97211,-2.14062,1.18750,-7.80078,-0.48828,-0.03906,0.19922,0.35410,0.00405,-0.31544
50,9766,3,-0.15680,-0.02606,0.17517,0.97162,-2.05859,1.15234,-7.74609,-0.71289,-0.03320,0.26758,0.35605,0.00429,-0.31923
51,10742,3,-0.15973,-0.02667,0.17633,0.97095,-1.78125,1.17578,-7.57812,-0.95312,-0.02734,0.32227,0.35855,0.00454,-0.32527
52,9765,3,-0.16370,-0.02734,0.17780,0.96997,-1.58203,1.24609,-7.50781,-1.21484,-0.00586,0.35938,0.36171,0.00516,-0.33343
53,9766,3,-0.16895,-0.02820,0.17938,0.96875,-1.50391,1.30859,-7.31641,-1.47656,0.02344,0.40430,0.36515,0.00598,-0.34421
54,9766,3,-0.17548,-0.02905,0.18115,0.96722,-1.17578,0.89844,-6.72266,-1.72070,0.09180,0.43750,0.36896,0.00738,-0.35756
55,10742,3,-0.18341,-0.02991,0.18298,0.96539,-0.89062,0.82422,-6.13281,-1.87891,0.14062,0.41406,0.37287,0.00938,-0.37373
56,9766,3,-0.19214,-0.03070,0.18481,0.96332,-0.40234,0.86328,-5.64062,-1.95508,0.09766,0.32617,0.37674,0.01187,-0.39148
57,9765,3,-0.20154,-0.03162,0.18628,0.96106,0.04297,0.89062,-5.10156,-2.00195,0.03906,0.18555,0.37992,0.01432,-0.41066
58,9766,3,-0.21075,-0.03284,0.18719,0.95886,0.98828,0.71875,-4.09766,-2.06250,0.01562,0.02734,0.38213,0.01593,-0.42963
59,10742,3,-0.22095,-0.03467,0.18744,0.95648,1.10156,0.60156,-3.46875,-2.15625,0.05664,-0.10938,0.38324,0.01651,-0.45083
60,9766,3,-0.23114,-0.03662,0.18695,0.95410,1.21484,0.59375,-2.60156,-2.20703,0.18750,-0.21484,0.38301,0.01654,-0.47215
61,9765,3,-0.24133,-0.03827,0.18579,0.95172,1.41406,0.46875,-1.61719,-2.19141,0.34766,-0.32227,0.38134,0.01683,-0.49343
62,9766,3,-0.25214,-0.03943,0.18384,0.94928,1.49219,-0.10938,0.55859,-2.15820,0.51562,-0.39453,0.37788,0.01785,-0.51581
63,10742,3,-0.26288,-0.03992,0.18127,0.94678,1.09375,-0.48828,1.75000,-2.05273,0.62695,-0.40039,0.37291,0.01972,-0.53795
64,11719,3,-0.27332,-0.03973,0.17834,0.94440,0.70312,-0.92969,3.16016,-1.80664,0.60938,-0.38477,0.36685,0.02244,-0.55926
65,7812,3,-0.28241,-0.03918,0.17548,0.94232,0.50391,-1.23438,4.64844,-1.46289,0.44531,-0.37891,0.36071,0.02526,-0.57775
66,9766,3,-0.29047,-0.03876,0.17273,0.94037,1.09766,-1.71484,7.18750,-1.06641,0.19727,-0.40039,0.35491,0.02746,-0.59425
67,10742,3,-0.29694,-0.03900,0.17023,0.93878,1.64062,-1.60547,8.22266,-0.68359,-0.05469,-0.49023,0.35002,0.02787,-0.60776
68,9766,3,-0.30096,-0.04016,0.16797,0.93787,2.54297,-1.50391,9.08203,-0.35938,-0.25195,-0.61328,0.34623,0.02578,-0.61654
69,9765,3,-0.30304,-0.04211,0.16577,0.93750,3.80078,-1.34766,9.98828,-0.05859,-0.36133,-0.74219,0.34312,0.02151,-0.62156
70,10743,3,-0.30365,-0.04498,0.16302,0.93768,4.26562,-1.37109,10.26953,0.22656,-0.38281,-0.86914,0.33955,0.01465,-0.62384
71,9765,3,-0.30273,-0.04797,0.15991,0.93835,4.60938,-1.45703,10.42578,0.56055,-0.32227,-1.00781,0.33541,0.00679,-0.62301
72,9766,3,-0.30035,-0.05084,0.15625,0.93958,5.05859,-1.56641,10.46875,0.84961,-0.17773,-1.15039,0.33012,-0.00168,-0.61909
73,9765,3,-0.29657,-0.05316,0.15192,0.94135,5.13281,-1.69531,9.62500,1.08984,0.03906,-1.31250,0.32316,-0.00998,-0.61204
74,10743,3,-0.29150,-0.05469,0.14655,0.94366,4.89453,-1.66797,8.91406,1.32617,0.27734,-1.42969,0.31365,-0.01778,-0.60203
75,9765,3,-0.28552,-0.05511,0.14032,0.94641,4.33594,-1.80859,8.07422,1.59570,0.55078,-1.45898,0.30173,-0.02420,-0.58969
76,9766,3,-0.27856,-0.05426,0.13348,0.94952,2.72656,-1.96094,6.45703,1.84375,0.81445,-1.39648,0.28781,-0.02868,-0.57489
77,9765,3,-0.27039,-0.05194,0.12634,0.95300,2.15625,-1.96484,5.21484,2.03516,1.02148,-1.30273,0.27239,-0.03068,-0.55711
78,10743,3,-0.26123,-0.04822,0.11926,0.95667,1.62891,-1.94531,3.95703,2.13281,1.18359,-1.18945,0.25629,-0.02995,-0.53699
79,9765,3,-0.25165,-0.04346,0.11255,0.96027,1.07812,-1.85547,2.69141,2.13672,1.25195,-1.09961,0.24042,-0.02682,-0.51583
80,11719,3,-0.25165,-0.04346,0.11255,0.96027,0.28906,-1.42578,0.21484,2.08789,1.24023,-1.05469,0.24042,-0.02682,-0.51583
81,7813,3,-0.23236,-0.03241,0.10022,0.96692,-0.19922,-1.15234,-0.92969,2.00391,1.17773,-1.07227,0.21044,-0.01610,-0.47338
82,10742,3,-0.22247,-0.02661,0.09393,0.97003,-0.48047,-1.11719,-1.83594,1.86523,1.07422,-1.12695,0.19533,-0.00983,-0.45186
83,9765,3,-0.21344,-0.02155,0.08777,0.97278,-1.01172,-1.13672,-2.54297,1.68750,0.94336,-1.19141,0.18094,-0.00445,-0.43238
84,9766,3,-0.20502,-0.01715,0.08136,0.97522,-2.22656,-1.30078,-3.38672,1.51953,0.77930,-1.22461,0.16649,-0.00009,-0.41443
85,10742,3,-0.19739,-0.01361,0.07489,0.97736,-2.76953,-1.40234,-3.68750,1.39844,0.57227,-1.22852,0.15235,0.00296,-0.39833
86,9766,3,-0.19037,-0.01105,0.06848,0.97925,-2.98438,-1.39062,-3.97266,1.28320,0.35742,-1.22656,0.13878,0.00444,-0.38371
87,9765,3,-0.18402,-0.00958,0.06244,0.98090,-3.49219,-1.13281,-4.48047,1.16992,0.18164,-1.15820,0.12635,0.00418,-0.37063
88,9766,3,-0.17780,-0.00903,0.05640,0.98242,-3.81250,-1.09375,-4.57031,1.05273,0.06836,-1.02734,0.11427,0.00231,-0.35795
89,10742,3,-0.17236,-0.00916,0.05121,0.98364,-4.02734,-1.16016,-4.64844,0.92188,-0.01758,-0.83789,0.10409,-0.00036,-0.34696
90,11719,3,-0.16736,-0.00970,0.04675,0.98474,-4.13672,-1.13672,-4.78906,0.79492,-0.09570,-0.63281,0.09547,-0.00346,-0.33685
91,7812,3,-0.16327,-0.01044,0.04358,0.98553,-4.27344,-0.94922,-4.82031,0.61133,-0.11328,-0.40234,0.08943,-0.00634,-0.32863
92,9766,3,-0.15955,-0.01135,0.04120,0.98627,-4.11328,-0.94141,-4.87891,0.39648,-0.06445,-0.16602,0.08499,-0.00925,-0.32115
93,10742,3,-0.15698,-0.01196,0.04010,0.98669,-3.96875,-0.88281,-4.78125,0.24805,0.02344,0.02930,0.08299,-0.01102,-0.31601
94,9766,3,-0.15533,-0.01215,0.03998,0.98700,-3.70703,-0.75000,-4.51953,0.18359,0.08984,0.15039,0.08279,-0.01156,-0.31268
95,9766,3,-0.15430,-0.01178,0.04053,0.98712,-2.93359,-0.46094,-3.96094,0.14844,0.14453,0.24609,0.08375,-0.01075,-0.31056
96,10742,3,-0.15350,-0.01111,0.04163,0.98718,-2.76562,-0.40625,-3.73047,0.07812,0.17188,0.31445,0.08571,-0.00915,-0.30891
97,8789,3,-0.15295,-0.01013,0.04309,0.98724,-2.65625,-0.33984,-3.61719,0.00391,0.14453,0.38867,0.08830,-0.00682,-0.30772
98,10742,3,-0.15277,-0.00922,0.04486,0.98718,-2.82422,-0.37500,-3.08203,-0.02930,0.08594,0.50195,0.09152,-0.00449,-0.30728
99,9766,3,-0.15283,-0.00836,0.04718,0.98706,-2.91797,-0.37500,-2.62109,-0.00586,0.02930,0.62305,0.09585,-0.00209,-0.30733
100,9765,3,-0.15295,-0.00769,0.05011,0.98694,-2.81641,-0.29297,-2.12109,0.03516,0.00781,0.72266,0.10144,0.00015,-0.30750
101,10742,3,-0.15289,-0.00714,0.05359,0.98676,-2.70703,-0.33203,-1.58594,0.02539,0.01562,0.80078,0.10815,0.00229,-0.30732
102,9766,3,-0.15277,-0.00659,0.05756,0.98657,-2.68359,-0.52344,-0.66797,-0.02539,0.03711,0.87305,0.11584,0.00458,-0.30699
103,9766,3,-0.15277,-0.00586,0.06177,0.98633,-2.73047,-0.51562,-0.19922,-0.02148,-0.04883,0.87109,0.12395,0.00731,-0.30688
104,9765,3,-0.15289,-0.00531,0.06628,0.98602,-2.59375,-0.32422,-0.27734,-0.04492,-0.09570,0.86133,0.13273,0.00980,-0.30702
105,10742,3,-0.15302,-0.00507,0.07080,0.98566,-2.75391,-0.52344,1.60156,0.01953,0.01758,0.86133,0.14161,0.01168,-0.30720
