lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,932617,3,0.10938,-0.11633,0.09796,0.98230,1.54297,-0.40234,-2.67969,-0.52930,-0.22656,-0.44141,0.17335,-0.25265,0.19971
1,9765,3,0.10754,-0.11749,0.09534,0.98260,1.56641,-0.32422,-3.06250,-0.69922,-0.23242,-0.47266,0.16826,-0.25414,0.19648
2,9766,3,0.10486,-0.11865,0.09247,0.98303,1.66406,-0.24609,-3.48438,-0.90430,-0.24805,-0.50000,0.16290,-0.25545,0.19157
3,12695,3,0.10132,-0.11993,0.08942,0.98352,1.64844,-0.03125,-4.52734,-1.16211,-0.27539,-0.52539,0.15738,-0.25686,0.18494
4,7813,3,0.09680,-0.12140,0.08618,0.98413,1.59766,0.13281,-5.19531,-1.50586,-0.30273,-0.51758,0.15172,-0.25849,0.17634
5,9766,3,0.09064,-0.12317,0.08252,0.98480,1.49609,0.34766,-5.88281,-1.96875,-0.34766,-0.49609,0.14561,-0.26048,0.16445
6,9765,3,0.08215,-0.12537,0.07849,0.98560,1.43359,0.65625,-6.71094,-2.54883,-0.42969,-0.47461,0.13935,-0.26303,0.14786
7,9766,3,0.07190,-0.12781,0.07458,0.98639,1.67188,1.07422,-8.78906,-3.21289,-0.52344,-0.47266,0.13385,-0.26598,0.12759
8,10742,3,0.05756,-0.13123,0.06995,0.98718,1.77734,1.34766,-9.22656,-3.89258,-0.49805,-0.51172,0.12799,-0.27044,0.09904
9,9766,3,0.04059,-0.13483,0.06494,0.98792,1.89062,1.63281,-9.34766,-4.61523,-0.40820,-0.57227,0.12226,-0.27512,0.06518
10,9765,3,0.01990,-0.13831,0.05914,0.98840,1.96094,1.94531,-9.76172,-5.44336,-0.25195,-0.61719,0.11617,-0.27939,0.02390
11,12696,3,-0.00427,-0.14136,0.05267,0.98853,1.69922,1.20312,-10.98047,-6.38281,0.07422,-0.49219,0.10993,-0.28279,-0.02431
12,7812,3,-0.03223,-0.14325,0.04584,0.98810,1.00000,0.46094,-11.20703,-7.30859,0.45703,-0.19336,0.10417,-0.28394,-0.08011
13,9766,3,-0.06573,-0.14343,0.03912,0.98669,0.01172,-0.33203,-11.05469,-8.23438,0.83398,0.23438,0.10017,-0.28162,-0.14726
14,9765,3,-0.10596,-0.14160,0.03308,0.98370,-2.78906,-4.21484,-8.92969,-8.94531,1.24805,0.69922,0.09896,-0.27502,-0.22830
15,9766,3,-0.14862,-0.13751,0.02869,0.97888,-3.95312,-5.33984,-6.42578,-9.24023,1.58594,1.03906,0.10068,-0.26373,-0.31472
16,10742,3,-0.19348,-0.13116,0.02557,0.97198,-4.41797,-6.98047,-3.43359,-8.95898,1.77734,1.14844,0.10381,-0.24759,-0.40591
17,12695,3,-0.23883,-0.12292,0.02325,0.96295,-4.14453,-7.89844,-0.05469,-8.12891,1.99219,0.94336,0.10645,-0.22760,-0.49840
18,6836,3,-0.27856,-0.11395,0.02087,0.95343,-2.00391,-10.51562,6.51562,-6.88672,2.00586,0.50000,0.10574,-0.20713,-0.57952
19,9766,3,-0.31506,-0.10406,0.01721,0.94318,-0.73438,-10.98438,9.16016,-5.25195,1.68945,-0.00195,0.09994,-0.18654,-0.65414
20,10742,3,-0.34503,-0.09509,0.01215,0.93365,0.57812,-10.69922,11.08984,-3.42578,1.10938,-0.54883,0.08972,-0.17001,-0.71562
21,9766,3,-0.36517,-0.08929,0.00641,0.92664,1.57422,-10.35938,11.53125,-1.68359,0.50977,-1.02344,0.07819,-0.16150,-0.75712
22,9765,3,-0.37653,-0.08716,0.00024,0.92230,0.08203,-9.08984,9.58203,-0.66992,0.24414,-1.19531,0.06700,-0.16129,-0.78061
23,10743,3,-0.38153,-0.08752,-0.00610,0.92017,-1.91797,-8.90625,8.25000,-0.39062,0.25195,-1.07031,0.05636,-0.16650,-0.79082
24,9765,3,-0.38342,-0.08862,-0.01190,0.91925,-3.51562,-8.13281,6.75000,-0.40039,0.31445,-0.76562,0.04679,-0.17292,-0.79438
25,9766,3,-0.38483,-0.08911,-0.01678,0.91852,-3.71484,-6.27734,6.27344,-0.30664,0.47852,-0.42969,0.03836,-0.17755,-0.79691
26,9765,3,-0.38611,-0.08844,-0.02039,0.91797,-3.03906,-5.68750,6.90234,-0.04102,0.64258,-0.12109,0.03138,-0.17907,-0.79911
27,10743,3,-0.38672,-0.08643,-0.02271,0.91785,-2.33594,-5.10547,7.24609,0.32617,0.68750,0.07227,0.02557,-0.17714,-0.79979
28,8789,3,-0.38599,-0.08356,-0.02393,0.91840,-1.74219,-4.49219,7.23047,0.73438,0.60938,0.10938,0.02087,-0.17281,-0.79755
29,10742,3,-0.38361,-0.08069,-0.02435,0.91962,-1.23828,-3.33594,6.83203,1.15820,0.40820,0.00586,0.01736,-0.16788,-0.79184
30,9766,3,-0.37903,-0.07837,-0.02454,0.92175,-1.27344,-2.73828,6.33984,1.61328,0.07617,-0.18164,0.01437,-0.16380,-0.78143
31,10742,3,-0.37256,-0.07764,-0.02472,0.92444,-0.96094,-2.34375,5.80859,2.10352,-0.17969,-0.37500,0.01231,-0.16267,-0.76720
32,9765,3,-0.36377,-0.07874,-0.02496,0.92780,-0.48438,-2.12109,5.64453,2.51172,-0.25195,-0.58594,0.01111,-0.16502,-0.74824
33,9766,3,-0.35278,-0.08099,-0.02576,0.93182,0.43359,-2.63281,5.42188,2.76172,-0.16016,-0.80859,0.00928,-0.16994,-0.72463
34,10742,3,-0.34027,-0.08362,-0.02734,0.93622,0.29297,-2.98828,5.33203,3.05469,0.03516,-1.02344,0.00580,-0.17608,-0.69773
35,12695,3,-0.32605,-0.08594,-0.03015,0.94092,0.38281,-3.29688,5.30859,3.54688,0.20117,-1.23828,-0.00071,-0.18240,-0.66708
36,6836,3,-0.31073,-0.08777,-0.03381,0.94580,1.06641,-3.66406,5.42578,4.10547,0.27734,-1.44336,-0.00959,-0.18816,-0.63395
37,9766,3,-0.29181,-0.08942,-0.03870,0.95148,0.81250,-4.05859,4.92188,4.73828,0.38477,-1.53320,-0.02186,-0.19396,-0.59304
