lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,5189453,3,-0.05231,-0.11414,-0.11792,0.98505,-1.78516,-0.43750,-2.03125,-1.37500,-0.29492,1.00195,-0.22884,-0.23948,-0.07845
1,9765,3,-0.05963,-0.11481,-0.11444,0.98499,-2.84375,-0.83203,-1.90234,-1.50391,-0.20312,1.43750,-0.21988,-0.24217,-0.09407
2,10742,3,-0.06726,-0.11481,-0.10950,0.98505,-3.16406,-0.85938,-1.76953,-1.58203,-0.03125,1.90625,-0.20784,-0.24330,-0.11085
3,9766,3,-0.07593,-0.11395,-0.10217,0.98529,-3.53125,-0.91016,-1.90234,-1.77148,0.11719,2.45898,-0.19074,-0.24244,-0.13051
4,9766,3,-0.08496,-0.11212,-0.09302,0.98566,-3.35547,-1.12891,-1.45703,-1.91211,0.33203,2.96484,-0.16995,-0.23911,-0.15150
5,9765,3,-0.09595,-0.10883,-0.08032,0.98615,-3.44531,-1.00000,-1.54688,-1.95898,0.49414,3.36719,-0.14180,-0.23213,-0.17742
6,10743,3,-0.10693,-0.10443,-0.06616,0.98657,-3.31250,-1.06641,-1.14062,-2.01172,0.61523,3.63672,-0.11116,-0.22202,-0.20353
7,9765,3,-0.11835,-0.09912,-0.05029,0.98676,-2.84375,-1.11328,-0.87891,-2.12109,0.62109,3.71484,-0.07755,-0.20903,-0.23059
8,9766,3,-0.12988,-0.09351,-0.03400,0.98651,-1.14062,-0.97656,-1.49219,-2.37109,0.47461,3.57812,-0.04362,-0.19455,-0.25755
9,10742,3,-0.14301,-0.08777,-0.01697,0.98566,-0.53125,-0.62109,-2.21094,-2.77148,0.28320,3.29492,-0.00848,-0.17883,-0.28740
10,9766,3,-0.15698,-0.08325,-0.00171,0.98407,0.05859,-0.47656,-2.18750,-3.05078,0.15234,2.90820,0.02309,-0.16514,-0.31829
11,10742,3,-0.17255,-0.07965,0.01208,0.98169,0.85938,-0.48047,-1.28906,-3.01953,-0.10352,2.45117,0.05184,-0.15281,-0.35194
12,8789,3,-0.18799,-0.07745,0.02350,0.97882,2.71484,-1.14062,0.10938,-2.84570,-0.39258,1.89844,0.07597,-0.14328,-0.38495
13,10742,3,-0.20343,-0.07690,0.03333,0.97552,3.58203,-1.26562,0.60938,-2.77930,-0.61523,1.35547,0.09737,-0.13690,-0.41786
14,9766,3,-0.21783,-0.07812,0.04065,0.97198,4.56250,-1.87891,1.38281,-2.71289,-0.68555,0.82031,0.11434,-0.13457,-0.44865
