lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1011719,3,0.01160,-0.14801,0.16400,0.97522,2.01953,0.39062,-1.64844,-0.38672,-1.46680,0.27734,0.33727,-0.29683,-0.02712
1,10742,3,0.01068,-0.15497,0.16583,0.97382,3.92188,0.47656,-1.80078,-0.50977,-1.65430,-0.14062,0.34237,-0.31034,-0.03214
2,9765,3,0.00970,-0.16327,0.16571,0.97253,4.88672,-0.12891,-1.33203,-0.64648,-1.77539,-0.49805,0.34367,-0.32655,-0.03721
3,9766,3,0.00854,-0.17212,0.16351,0.97137,5.37891,-0.43359,-1.15234,-0.72852,-1.72461,-0.79492,0.34086,-0.34392,-0.04217
4,10742,3,0.00720,-0.18115,0.15967,0.97040,6.17578,-1.00781,-0.59375,-0.75000,-1.55664,-1.02930,0.33474,-0.36170,-0.04692
5,9766,3,0.00580,-0.18921,0.15472,0.96967,8.21094,-1.66406,0.65625,-0.69922,-1.27539,-1.24219,0.32619,-0.37764,-0.05091
6,9766,3,0.00446,-0.19690,0.14819,0.96918,8.83594,-1.59766,0.98047,-0.59766,-0.76562,-1.43359,0.31418,-0.39300,-0.05385
7,9765,3,0.00336,-0.20227,0.14099,0.96912,9.35547,-1.81641,1.21094,-0.52734,-0.27539,-1.58008,0.30020,-0.40389,-0.05498
8,9766,3,0.00250,-0.20520,0.13300,0.96967,9.59766,-1.55859,0.85938,-0.29297,-0.00195,-1.78516,0.28389,-0.40999,-0.05425
9,10742,3,0.00238,-0.20612,0.12451,0.97058,9.23047,-1.97266,1.67188,-0.12305,0.62695,-1.89648,0.26584,-0.41227,-0.05100
10,9766,3,0.00305,-0.20465,0.11536,0.97198,8.74609,-1.71875,0.85938,-0.12891,1.07031,-2.07227,0.24562,-0.40994,-0.04503
11,9765,3,0.00403,-0.20056,0.10547,0.97400,8.11328,-1.12500,-0.32031,-0.13672,1.45898,-2.20312,0.22337,-0.40229,-0.03746
12,9766,3,0.00482,-0.19458,0.09534,0.97620,6.71875,-0.92578,-0.71484,-0.16016,1.81445,-2.30859,0.20063,-0.39071,-0.02995
13,10742,3,0.00555,-0.18634,0.08392,0.97888,5.98047,-0.80469,-1.23438,-0.24023,2.16797,-2.39844,0.17520,-0.37443,-0.02192
14,9766,3,0.00592,-0.17651,0.07214,0.98163,5.18750,-0.82812,-1.30469,-0.29688,2.47070,-2.46875,0.14937,-0.35480,-0.01477
15,9765,3,0.00592,-0.16522,0.06018,0.98438,4.42969,-1.00000,-1.30078,-0.27539,2.69727,-2.49805,0.12358,-0.33208,-0.00871
16,9766,3,0.00580,-0.15234,0.04767,0.98718,2.39844,-1.43750,-1.14844,-0.19922,2.85352,-2.48242,0.09700,-0.30608,-0.00323
17,10742,3,0.00586,-0.13928,0.03589,0.98956,1.33594,-1.59766,-1.25781,-0.16992,3.05859,-2.40625,0.07227,-0.27972,0.00166
18,9766,3,0.00616,-0.12402,0.02325,0.99200,0.08594,-1.67578,-1.26562,-0.24023,3.19531,-2.32422,0.04604,-0.24890,0.00667
19,9765,3,0.00629,-0.10828,0.01135,0.99402,-2.68750,-2.01953,-1.55859,-0.26758,3.13867,-2.25586,0.02172,-0.21711,0.01028
20,9766,3,0.00610,-0.09259,0.00000,0.99567,-3.96094,-2.23438,-1.39844,-0.25000,2.93750,-2.17383,-0.00115,-0.18545,0.01237
21,10742,3,0.00586,-0.07739,-0.01105,0.99695,-5.21484,-2.51172,-1.29297,-0.24609,2.64062,-2.08203,-0.02321,-0.15479,0.01355
22,9766,3,0.00555,-0.06329,-0.02173,0.99774,-6.39453,-2.67969,-1.17969,-0.23242,2.26562,-1.95703,-0.04443,-0.12640,0.01395
23,9765,3,0.00531,-0.05139,-0.03143,0.99817,-8.70703,-2.89453,-0.71094,-0.17969,1.83789,-1.76953,-0.06367,-0.10244,0.01390
24,9766,3,0.00507,-0.04071,-0.04108,0.99829,-9.50000,-2.94141,-0.42969,-0.08789,1.40430,-1.49219,-0.08279,-0.08096,0.01350
25,10742,3,0.00513,-0.03296,-0.04877,0.99823,-9.96094,-2.82031,-0.12891,0.00000,1.02539,-1.18555,-0.09807,-0.06535,0.01348
26,9766,3,0.00543,-0.02667,-0.05560,0.99811,-10.14453,-2.67188,0.05469,0.06250,0.78320,-0.85938,-0.11167,-0.05266,0.01383
27,9765,3,0.00598,-0.02203,-0.06079,0.99786,-9.82812,-2.41406,0.42969,0.10742,0.65039,-0.50586,-0.12201,-0.04326,0.01463
28,10743,3,0.00671,-0.01855,-0.06409,0.99774,-9.52734,-2.12109,0.23828,0.13281,0.62109,-0.11133,-0.12857,-0.03617,0.01579
29,9765,3,0.00757,-0.01538,-0.06555,0.99768,-9.34375,-1.69922,0.12109,0.14844,0.58398,0.23828,-0.13147,-0.02970,0.01713
30,9766,3,0.00842,-0.01245,-0.06512,0.99774,-8.52344,-0.49219,-0.84375,0.14844,0.48633,0.51562,-0.13058,-0.02375,0.01844
31,9766,3,0.00934,-0.00983,-0.06317,0.99792,-8.08594,0.26172,-1.53125,0.08594,0.29492,0.69141,-0.12662,-0.01843,0.01988
32,10742,3,0.01001,-0.00800,-0.06006,0.99811,-7.58594,0.94922,-2.22266,-0.02930,0.00586,0.76953,-0.12035,-0.01476,0.02095
33,8789,3,0.01019,-0.00732,-0.05640,0.99835,-7.17969,1.47656,-2.75781,-0.18945,-0.33594,0.80273,-0.11300,-0.01347,0.02118
34,10742,3,0.00958,-0.00812,-0.05255,0.99854,-6.50391,1.68359,-2.87500,-0.33789,-0.64648,0.87695,-0.10531,-0.01521,0.01999
35,9766,3,0.00806,-0.01068,-0.04816,0.99878,-6.05469,1.33203,-2.59766,-0.43750,-0.90430,0.97656,-0.09653,-0.02056,0.01713
36,10742,3,0.00592,-0.01447,-0.04358,0.99890,-5.51172,0.91406,-2.17578,-0.47852,-1.14062,1.02539,-0.08738,-0.02839,0.01309
